link,title,body,attachment_0_link,attachment_0_name,attachment_1_link,attachment_1_name,attachment_2_link,attachment_2_name,attachment_3_link,attachment_3_name,attachment_4_link,attachment_4_name,attachment_5_link,attachment_5_name,attachment_6_link,attachment_6_name,attachment_7_link,attachment_7_name,attachment_8_link,attachment_8_name,attachment_9_link,attachment_9_name,attachment_10_link,attachment_10_name,attachment_11_link,attachment_11_name,attachment_12_link,attachment_12_name,attachment_13_link,attachment_13_name,attachment_14_link,attachment_14_name,attachment_15_link,attachment_15_name,attachment_16_link,attachment_16_name,attachment_17_link,attachment_17_name,attachment_18_link,attachment_18_name,attachment_19_link,attachment_19_name,attachment_20_link,attachment_20_name,attachment_21_link,attachment_21_name,attachment_22_link,attachment_22_name,attachment_23_link,attachment_23_name,opening date,closing date,ISBN,person,addr,email
http://www.communities.gov.uk/publications/housing/toleratedtresspassersresponses,Consultation on Tolerated Trespassers: Successor Landlord Cases - Summary of Responses,"In September 2008 Communities and Local Government published a consultation paper on tolerated trespassers, considering options for extending the provisions relating to existing tolerated trespassers in Schedule 11 to the Housing and Regeneration Act 2008 to successor landlord cases (that is to say to tolerated trespassers whose landlord has changed). This document summarises the responses which were received to that consultation exercise.
",http://www.communities.gov.uk/documents/housing/pdf/1168568.pdf,Consultation on Tolerated Trespassers: Successor Landlord Cases - Summary of Responses,http://www.communities.gov.uk/documents/housing/doc/11724221.doc,Consultation on Tolerated Trespassers: Successor Landlord Cases - Summary of responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 March 2009,,978-1-4098-1217-3,,,
http://www.communities.gov.uk/publications/housing/financialviabilitystudy,Financial viability study of the eco-towns programme,"This financial viability study has been prepared with input from an external team of advisers to assess whether, on the basis of an initial high level assessment, an eco-town could be economically viable in the locations listed below:

  * Weston Otmoor, Oxfordshire
  * Ford Airfield, West Sussex
  * Whitehill Bordon, Hampshire
  * Pennbury, Leicestershire
  * St Austell China Clay Community, Cornwall
  * Rossington, South Yorkshire
  * Middle Quinton, Warwickshire
  * North East Elsenham, Essex
  * North West Bicester (Cherwell), Oxon*  
  * Rackheath, Norwich*  
  * Rushcliffe, Nottinghamshire*  

* _The financial assessments which relate to schemes submitted as alternatives in the course of the Sustainability Appraisal are those submitted by the schemes themselves and have not been subject to review by the Department's advisers._

Comments are invited on the information presented in the study, in particular on the following questions:

  * do you consider that as a high level strategic assessment this study has identified the main issues affecting viability?
  * are there major areas of cost or infrastructure provision and funding or other issues affecting financial viability which are not identified and could be considered at this stage?
  * are you aware of evidence which would lead you to different conclusions to those set out here? For example, where the assessment shows a negative financial outcome are there additional public policy reasons (eg. regeneration or site restoration) which would justify an alternative approach?
",http://www.communities.gov.uk/documents/housing/pdf/1165892.pdf,Financial viability study of the eco-towns programme,http://www.communities.gov.uk/documents/housing/doc/1176140.doc,Financial viability study of the eco-towns programme,http://www.communities.gov.uk/documents/housing/doc/1176149.doc,Annexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 March 2009,30 April 2009,978-1-4098-1101-5,,,
http://www.communities.gov.uk/archived/publications/housing/disposalprivatesector,Consultation Before Disposal to Private Sector Landlord: Statutory Guidance – A Consultation Paper,"This consultation seeks views on draft statutory Guidance to English local housing authorities on meeting the requirements imposed on them by paragraph 3 to Schedule 3A of the Housing Act 1985 - Consultation before disposal to private sector landlord (as amended by section 294 of the Housing and Regeneration Act 2008).

We would welcome responses to the specific questions posed at the end of this document as well as any general comments you may have. Please ensure your responses to the specific questions we pose, clearly identify the question number to assist us with the compilation and analysis of responses. It would also be helpful if you could respond electronically. This will help us reduce the time we need to compile and analyse the comments we receive.
",http://www.communities.gov.uk/documents/housing/pdf/1156842.pdf,Consultation Before Disposal to Private Sector Landlord: Statutory Guidance - A Consultation Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 February 2009,21 May 2009,978 1 4098 1179 4,,,
http://www.communities.gov.uk/publications/localgovernment/localspendingreportsconsultation,Sustainable Communities Act 2007: Local Spending Reports - Consultation Document,"The purpose of the Sustainable Communities Act 2007 is to promote the sustainability of local communities. It provides a channel for local communities and local authorities to ask central government to take action which they believe would improve the economic, social or environmental well-being of their area. As part of the Act, arrangements will be made for the production of Local Spending Reports (LSR) which will provide information on public expenditure in a particular area.

This consultation seeks views on how the Government should put in place the first arrangements for LSRs and seeks views on how these reports might develop over time.

### Duration

Comments on Questions 1 and 2 on the proposals for the first arrangements for the production of Local Spending Reports should be sent to the department no later than Friday 3 April 2009.

The deadline for responding to questions 3 to 5 on developing the reports over time is Friday 15 May 2009.
",http://www.communities.gov.uk/documents/localgovernment/pdf/1153170.pdf,Sustainable Communities Act 2007: Local Spending Reports - Consultation Document,http://www.communities.gov.uk/documents/localgovernment/doc/1167435.doc,Sustainable Communities Act 2007: Local Spending Reports - Consultation Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 February 2009,15 May 2009,9781409812111,,,
http://www.communities.gov.uk/publications/localgovernment/capitalfinanceresponses,Local Government Capital Finance System: Proposed Amendments to Regulations - Summary of consultation responses,"On 10 December 2008 the Department issued draft regulations and a consultation document to all local authorities in England and other interested parties. We received 30 responses to the consultation. This report summarises the main points made, with the Department's comments. 
",http://www.communities.gov.uk/documents/localgovernment/pdf/1178010.pdf,Local Government Capital Finance System: Proposed Amendments to Regulations - Summary of consultation responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 February 2009,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/article4directions,General Permitted Development Order 1995 (Article 4 Directions): Summary Report on Consultation Responses,"The paper _General Permitted Development Order 1995: A Consultation_ was published on 2 August 2006 and related to changes to Article 4 directions. This is a summary of responses to the consultation which closed on 24 October 2006.  
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/article4directions.pdf,General Permitted Development Order 1995 (Article 4 Directions): Summary Report on Consultation Responses,http://www.communities.gov.uk/documents/planningandbuilding/doc/article4directions.doc,General Permitted Development Order 1995 (Article 4 Directions): Summary Report on Consultation Responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 February 2009,,9781409810803,,,
http://www.communities.gov.uk/publications/planningandbuilding/demolitionsportsbuildings,General Permitted Development Order 1995 (Demolition of Sports Buildings): Summary Report on Consultation Responses,"The paper _General Permitted Development Order 1995: A Consultation_ was published on 2 August 2006 and related to changes to the demolition of sports buildings. This is a summary of responses to the consultation which closed on 24 October 2006.  
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/demolitionsportsbuildings.pdf,General Permitted Development Order 1995 (Demolition of Sports Buildings): Summary Report on Consultation Responses,http://www.communities.gov.uk/documents/planningandbuilding/doc/demolitionsportsbuildings.doc,General Permitted Development Order 1995 (Demolition of Sports Buildings): Summary Report on Consultation Responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 February 2009,,9781409810827,,,
http://www.communities.gov.uk/publications/localgovernment/nationalindicatorsresponses,Summary of responses to the consultation on the deferred National Indicators,"This summary of responses provides local authorities and their partners feedback to the views conveyed by respondents and the subsequent actions the Government has taken. The deferred national indicators consultation provided local authorities and their partners the opportunity to comment on the technical definitions for 13 deferred and revised indicators due for introduction in April 2009.  

",http://www.communities.gov.uk/documents/localgovernment/pdf/1147195.pdf,Summary of responses to the consultation on the deferred National Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 February 2009,,9781409811718,,,
http://www.communities.gov.uk/publications/planningandbuilding/heatenergysavingstrategy,Heat and Energy Saving Strategy consultation,"The Government has launched the Heat and Energy Saving Strategy to seek views on its longer-term ambitions for how we use can transform the way we use heat and energy in our homes and businesses when it comes to heat and energy efficiency.

Alongside the joint Communities and Local Government/Department of Energy and Climate Change (DECC) consultation the Community Energy Saving Programme, and DECC's consultation on the Carbon Emissions Reduction Target uplift, the Heat and Energy Saving Strategy will help formulate a successful strategy for national and local government to help people individually, and as a part of their community, to heat and power their homes and businesses.

Britain's homes and buildings are using energy inefficiently and wasting heat and power at an unsustainable rate. As a result, the average household could be throwing away over £300 a year on energy. We can all benefit from better energy efficiency, but the impact of lower bills could be felt most by the 2.75 million vulnerable households currently suffering fuel poverty. Working together, we know we need to transform the attitudes and actions of us all when it comes to heat and energy efficiency. We need a radical shift in our use of energy and heat in our homes to meet our ambition of an 80 per cent CO2 reduction by 2050.
",http://hes.decc.gov.uk/,Heat and Energy Saving Strategy consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 February 2009,8 May 2009,,,,
http://www.communities.gov.uk/publications/planningandbuilding/communityenergysaving,Community Energy Saving Programme (CESP) consultation,"The Government is consulting on proposals for the Community Energy Saving Programme (CESP). The broad policy proposals for the design of the programme include:

  * placing an obligation on energy suppliers and electricity generators to meet a CO2 reduction target by providing energy efficiency measures to domestic consumers.
  * requiring that this obligation is met by providing these measures to households in areas with high levels of low incomes.
  * to offer these measures as a package to homes, to deliver a 'whole house approach' - so that homes can receive all the major energy efficiency measures they need, which could also include district heating schemes.
  * specifying that only certain measures are eligible to count towards the CO2 targets, focusing on those measures which can make a substantial difference to a household emissions and fuel bills.

On September 11 2008 the Prime Minister announced a package of initiatives designed to help people to reduce their fuel bills whilst also ensuring that the most vulnerable receive help this winter. One element of this package was the Community Energy Saving Programme. It aims to deliver around £350m of energy efficiency packages. Reducing energy use also helps tackle climate change, and CESP will contribute to our ambition of an 80 per cent CO2 reduction by 2050.
",http://www.decc.gov.uk/en/content/cms/consultations/open/cesp/cesp.aspx,Consultation on Community Energy Saving Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 February 2009,8 May 2009,,,,
http://www.communities.gov.uk/publications/communities/wnf200911consultationresponse,The Working Neighbourhoods Fund 2009-2011: Revising the Third Criterion consultation - Government Response,"On 4 November 2008, the Government published a consultation paper seeking views on proposals for revising the third criterion used to determine eligibility for the Working Neighbourhoods Fund (WNF) for 2009 to 2011. This consultation closed on the 9 January 2009.

This document sets out the key points raised by the local authorities and individuals who submitted their opinions on the proposals, and the Government's response to those key points.
",http://www.communities.gov.uk/documents/communities/pdf/1138329.pdf,The Working Neighbourhoods Fund 2009-2011: Revising the Third Criterion consultation - Government Response,http://www.communities.gov.uk/documents/communities/doc/1138339.doc,The Working Neighbourhoods Fund 2009-2011: Revising the Third Criterion consultation - Government Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 February 2009,,9781409811237,,,
http://www.communities.gov.uk/publications/planningandbuilding/pps6responses,Proposed changes to Planning Policy Statement 6: Planning for Town Centres (PPS6) - Summary of public consultation responses,"In July 2008 the Department launched a public consultation on its proposed changes to _Planning Policy Statement 6: Planning for Town Centres_ (PPS6). This put forward a new way to assess the potential impact of out-of-centre development proposals, and replacement of the 'need' test with an impact test. Consultation ended in October 2008.

This summary is a digest of the views of 368 organisations and individuals who responded.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/pps6responses.pdf,Proposed changes to Planning Policy Statement 6: Planning for Town Centres (PPS6) - Summary of public consultation responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 February 2009,,9781409811176,,,
http://www.communities.gov.uk/publications/planningandbuilding/constructionproductsresponses,The European Commission’s proposed Construction Products Regulation: Consultation on the proposals and development of a UK negotiating line: Summary of responses,"This document provides a summary of the responses to the consultation paper _The European Commission's proposed Construction Products Regulation: Consultation on the proposals and development of a UK negotiating line _ which was published in August 2008.

Communities and Local Government was seeking views on the Commission's proposals, with the aim of informing their input to negotiations on the proposed Regulation. The Department engaged with stakeholders through regular meetings with two advisory groups one of interested government departments and one of key industry contacts.

Fifty-two bodies or individuals responded to the consultation, representing broad interest groups. This paper records the main points submitted in writing in response to the consultation.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/constructionproductsresponse.pdf,The European Commission's proposed Construction Products Regulation: Consultation on the proposals and development of a UK negotiating line: Summary of responses,http://www.communities.gov.uk/documents/planningandbuilding/doc/constructionproductsrespons.doc,The European Commission's proposed Construction Products Regulation: Consultation on the proposals and development of a UK negotiating line: Summary of responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 January 2009,,9781409810216,,,
http://www.communities.gov.uk/archived/publications/planningandbuilding/consultationstatutoryconsultees,Planning Act 2008: Consultation on list of statutory consultees for National Policy Statements,"This consultation document seeks views on who should be statutory consultees before designating a document as a National Policy Statement (NPS) under the _Planning Act 2008_.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/consultationstatutoryconsult.pdf,Planning Act 2008: Consultation on list of statutory consultees for National Policy Statements,http://www.communities.gov.uk/documents/planningandbuilding/doc/consultationstatutoryconsult.doc,Planning Act 2008: Consultation on list of statutory consultees for National Policy Statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 January 2009,20 April 2009,9781409810766,,,
http://www.communities.gov.uk/publications/localgovernment/govresponselocalaccountability,"Communities in Control: Real people, real power - Government response to the improving local accountability consultation","A summary of responses to the improving local accountability consultation and the Government's response to the consultation. 
",http://www.communities.gov.uk/documents/localgovernment/pdf/1129377.pdf,"Communities in Control: Real people, real power - Government response to improving local accountability consultation",http://www.communities.gov.uk/documents/localgovernment/doc/1129437.doc,"Communities in control: real people, real power - Government response to improving local accountability consultation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 January 2009,,9781409810407,,,
http://www.communities.gov.uk/publications/localgovernment/businessratesupplementscon,Business rate supplements: a consultation on draft guidance to local authorities,"The Business Rate Supplements Bill makes provision for county councils, unitary district councils and the Greater London Authority to levy a supplement on the National Non-Domestic Rate (or business rate). Authorities will be able to use the proceeds to fund additional investment aimed at promoting the economic development of local areas. The Bill follows _Business rate supplements: A White Paper_ published October 2007.

This joint Treasury/ Communities and Local Government consultation presents draft guidance on the use of Business Rate Supplements for the consideration of local authorities, businesses and business representatives, and others.
",http://www.hm-treasury.gov.uk/consult_businessrate_supp.htm,Business rate supplements: a consultation on draft guidance to local authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 January 2009,17 April 2009,9781845325565,,,
http://www.communities.gov.uk/publications/housing/capitalruleschanges,Changes to the Revenue and Capital Rules for New Council Housing: Consultation on excluding new council housing from Housing Revenue Account Subsidy and Pooling,"Proposed changes to the revenue and capital rules that apply to new council housing. The changes would exempt specified new properties from the redistributive effects of the HRA subsidy system and from pooling of capital receipts. 
",http://www.communities.gov.uk/documents/housing/pdf/capitalruleschanges.pdf,Changes to the Revenue and Capital Rules for New Council Housing: Consultation on excluding new council housing from Housing Revenue Account Subsidy and Pooling,http://www.communities.gov.uk/documents/housing/doc/revenuecapitalrules.doc,Changes to the Revenue and Capital Rules for New Council Housing: Consultation on excluding new council housing from Housing Revenue Account Subsidy and Pooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 January 2009,17 April 2009,9781409810360,,,
http://www.communities.gov.uk/publications/fire/subsurfacerailresponse,Changes to fire safety regulations affecting sub-surface railway stations – Consultation - Summary of Responses,"A summary of responses to the recent consultation on proposed changes to the Fire Precautions (Sub-surface Railway Station) Regulations 1989 and the Government's response to the consultation. 
",http://www.communities.gov.uk/documents/fire/pdf/subsurfacerailresponse.pdf,Changes to fire safety regulations affecting sub-surface railway stations - Consultation - Summary of Responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 December 2008,,9781409809852,,,
http://www.communities.gov.uk/publications/communities/digitalinclusionwelsh,Cyflawni Cynhwysiant Digidol: Cynllun Gweithredu ar gyfer Ymgynghoriad (Delivering Digital Inclusion: An Action Plan for Consultation),"The Action Plan outlines the key issues relating to the use of digital technology and argues why digital exclusion is an increasingly urgent social problem. In summary:

  * Digital technologies pervade every aspect of modern society. However these opportunities are not enjoyed by the whole of the UK population - for example, 17 million people in the UK still do not use computers and the Internet and there is a strong correlation between digital exclusion and social exclusion.
  * There are significant and untapped opportunities to use technology better on behalf of citizens and communities. These include improved service planning, design and delivery, particularly to address the needs of disadvantaged groups and individuals.

The Government's response was published on 16 November 2009 and is available on the DCMS website (see link on the right).
",http://www.communities.gov.uk/publications/communities/digitalinclusionwelsh?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/communities/pdf/1103102.pdf,Delivering Digital Inclusion: An Action Plan for Consultation (Welsh Language version),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 December 2008,19 January 2009,9781409807995,,,
http://www.communities.gov.uk/publications/planningandbuilding/zerocarbondefinition,Definition of Zero Carbon Homes and Non-Domestic Buildings: Consultation,"_Building a Greener Future: Policy Statement_ (2007) announced that all new homes will be zero carbon from 2016, and said that we would consult again on the detailed definition. Budget 2008 announced the Government's ambition that all new non-domestic buildings should be zero carbon from 2019. This consultation proposes a definition of zero carbon new homes, based on high energy efficiency, on- or near-site carbon reduction, and allowable solutions for dealing with the remaining emissions. The paper also sets out current Government thinking on zero carbon new non-domestic buildings.

The Zero Carbon Hub, an industry-led delivery body formed to take forward practical delivery of the zero carbon homes policy, is holding in February 2009, a series of events to support the consultation on the definition of zero carbon homes (see link on right).
",http://www.communities.gov.uk/publications/planningandbuilding/zerocarbondefinition?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/planningandbuilding/pdf/1101177.pdf,Definition of Zero Carbon Homes and Non-Domestic Buildings: Consultation,http://www.communities.gov.uk/documents/planningandbuilding/doc/1114803.doc,Definition of Zero Carbon Homes and Non-Domestic Buildings: Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 December 2008,18 March 2009,9781409809340,,,
