old_url,type,title,summary,body,publication_date_iso,publication_date,urn,attachment_1,attachment_1_title,attachment_2,attachment_2_title,publication_series,associated_policies,associated_organisations,geo_scope,geo_breakdown,i
http://www.dft.gov.uk/statistics/tables/acs0111,Table,ACS0111,"Download table ACS0111 – Households with good transport access to key services or work by local authority, England, from 2007 (XLS – 49 KB)","## Download table

  * [ACS0111 - Households with good transport access to key services or work by local authority, England, from 2007 (XLS - 49 KB)](http://assets.dft.gov.uk/statistics/tables/acs0111.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-09-22,22 September 2011,ACS0111,http://assets.dft.gov.uk/statistics/tables/acs0111.xls,"ACS0111 – Households with good transport access to key services or work by local authority, England, from 2007 (XLS – 49 KB)",,,Accessibility,,Department for Transport,England,Local authorities,11
http://www.dft.gov.uk/statistics/tables/acs0201,Table,ACS0201,"Download table ACS0201 – Users with reasonable access to key services by mode of travel, England, from 2007 (XLS – 44 KB)","## Download table

  * [ACS0201 - Users with reasonable access to key services by mode of travel, England, from 2007 (XLS - 44 KB)](http://assets.dft.gov.uk/statistics/tables/acs0201.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0201,http://assets.dft.gov.uk/statistics/tables/acs0201.xls,"ACS0201 – Users with reasonable access to key services by mode of travel, England, from 2007 (XLS – 44 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Not applicable,12
http://www.dft.gov.uk/statistics/tables/acs0202,Table,ACS0202,"Download table ACS0202 – Users with access to key services within lower and upper threshold by mode of travel, England, from 2007 (XLS – 30 KB)","## Download table

  * [ACS0202 - Users with access to key services within lower and upper threshold by mode of travel, England, from 2007 (XLS - 30 KB)](http://assets.dft.gov.uk/statistics/tables/acs0202.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0202,http://assets.dft.gov.uk/statistics/tables/acs0202.xls,"ACS0202 – Users with access to key services within lower and upper threshold by mode of travel, England, from 2007 (XLS – 30 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Not applicable,13
http://www.dft.gov.uk/statistics/tables/acs0203,Table,ACS0203,"Download table ACS0203 – At risk users with access to key services within lower and upper threshold by mode of travel, England, from 2007 (XLS – 31 KB)","## Download table

  * [ACS0203 - At risk users with access to key services within lower and upper threshold by mode of travel, England, from 2007 (XLS - 31 KB)](http://assets.dft.gov.uk/statistics/tables/acs0203.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0203,http://assets.dft.gov.uk/statistics/tables/acs0203.xls,"ACS0203 – At risk users with access to key services within lower and upper threshold by mode of travel, England, from 2007 (XLS – 31 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Not applicable,14
http://www.dft.gov.uk/statistics/tables/acs0204,Table,ACS0204,"Download table ACS0204 – Users with reasonable access to key services by mode of travel, by rural and urban areas, England, from 2007 (XLS – 43 KB)","## Download table

  * [ACS0204 - Users with reasonable access to key services by mode of travel, by rural and urban areas, England, from 2007 (XLS - 43 KB)](http://assets.dft.gov.uk/statistics/tables/acs0204.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0204,http://assets.dft.gov.uk/statistics/tables/acs0204.xls,"ACS0204 – Users with reasonable access to key services by mode of travel, by rural and urban areas, England, from 2007 (XLS – 43 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Rural / urban areas,15
http://www.dft.gov.uk/statistics/tables/acs0205,Table,ACS0205,"Download table ACS0205 – At risk users with reasonable access to key services by mode of travel, by rural and urban areas, England, from 2007 (XLS – 32 KB)","## Download table

  * [ACS0205 - At risk users with reasonable access to key services by mode of travel, by rural and urban areas, England, from 2007 (XLS - 32 KB)](http://assets.dft.gov.uk/statistics/tables/acs0205.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0205,http://assets.dft.gov.uk/statistics/tables/acs0205.xls,"ACS0205 – At risk users with reasonable access to key services by mode of travel, by rural and urban areas, England, from 2007 (XLS – 32 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Rural / urban areas,16
http://www.dft.gov.uk/statistics/tables/acs0206,Table,ACS0206,"Download table ACS0206 – Users with access to key services within lower and upper threshold by mode of travel, by rural and urban areas, England, from 2007 (XLS – 36 KB)","## Download table

  * [ACS0206 - Users with access to key services within lower and upper threshold by mode of travel, by rural and urban areas, England, from 2007 (XLS - 36 KB)](http://assets.dft.gov.uk/statistics/tables/acs0206.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0206,http://assets.dft.gov.uk/statistics/tables/acs0206.xls,"ACS0206 – Users with access to key services within lower and upper threshold by mode of travel, by rural and urban areas, England, from 2007 (XLS – 36 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Rural / urban areas,17
http://www.dft.gov.uk/statistics/tables/acs0207,Table,ACS0207,"Download table ACS0207 – At risk users with access to key services within lower and upper threshold by mode of travel, by rural and urban areas, England, from 2007 (XLS – 38 KB)","## Download table

  * [ACS0207 - At risk users with access to key services within lower and upper threshold by mode of travel, by rural and urban areas, England, from 2007 (XLS - 38 KB)](http://assets.dft.gov.uk/statistics/tables/acs0207.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0207,http://assets.dft.gov.uk/statistics/tables/acs0207.xls,"ACS0207 – At risk users with access to key services within lower and upper threshold by mode of travel, by rural and urban areas, England, from 2007 (XLS – 38 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Rural / urban areas,18
http://www.dft.gov.uk/statistics/tables/acs0208,Table,ACS0208,"Download table ACS0208 – Users with reasonable access to key services by public transport/walking, by region, England, from 2007 (XLS – 41 KB)","## Download table

  * [ACS0208 - Users with reasonable access to key services by public transport/walking, by region, England, from 2007 (XLS - 41 KB)](http://assets.dft.gov.uk/statistics/tables/acs0208.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0208,http://assets.dft.gov.uk/statistics/tables/acs0208.xls,"ACS0208 – Users with reasonable access to key services by public transport/walking, by region, England, from 2007 (XLS – 41 KB)",,,Accessibility,"Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Regions,19
http://www.dft.gov.uk/statistics/tables/acs0209,Table,ACS0209,"Download table ACS0209 – Users with reasonable access to key services by cycling, by region, England, from 2007 (XLS – 41 KB)","## Download table

  * [ACS0209 - Users with reasonable access to key services by cycling, by region, England, from 2007 (XLS - 41 KB)](http://assets.dft.gov.uk/statistics/tables/acs0209.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0209,http://assets.dft.gov.uk/statistics/tables/acs0209.xls,"ACS0209 – Users with reasonable access to key services by cycling, by region, England, from 2007 (XLS – 41 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel",Department for Transport,England,Regions,20
http://www.dft.gov.uk/statistics/tables/acs0210,Table,ACS0210,"Download table ACS0210 – Users with reasonable access to key services by car, by region, England, from 2007 (XLS – 46 KB)","## Download table

  * [ACS0210 - Users with reasonable access to key services by car, by region, England, from 2007 (XLS - 46 KB)](http://assets.dft.gov.uk/statistics/tables/acs0210.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0210,http://assets.dft.gov.uk/statistics/tables/acs0210.xls,"ACS0210 – Users with reasonable access to key services by car, by region, England, from 2007 (XLS – 46 KB)",,,Accessibility,"Journey time, Mode of travel",Department for Transport,England,Regions,21
http://www.dft.gov.uk/statistics/tables/acs0211,Table,ACS0211,"Download table ACS0211 – Users with reasonable access to key services by composite mode, by region, England, from 2007 (XLS – 46 KB)","## Download table

  * [ACS0211 - Users with reasonable access to key services by composite mode, by region, England, from 2007 (XLS - 46 KB)](http://assets.dft.gov.uk/statistics/tables/acs0211.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0211,http://assets.dft.gov.uk/statistics/tables/acs0211.xls,"ACS0211 – Users with reasonable access to key services by composite mode, by region, England, from 2007 (XLS – 46 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Regions,22
http://www.dft.gov.uk/statistics/tables/acs0212,Table,ACS0212,"Download table ACS0212 – Users with access to key services within lower and upper threshold by public transport/walking, by region, England, from 2007 (XLS – 39 KB)","## Download table

  * [ACS0212 - Users with access to key services within lower and upper threshold by public transport/walking, by region, England, from 2007 (XLS - 39 KB)](http://assets.dft.gov.uk/statistics/tables/acs0212.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0212,http://assets.dft.gov.uk/statistics/tables/acs0212.xls,"ACS0212 – Users with access to key services within lower and upper threshold by public transport/walking, by region, England, from 2007 (XLS – 39 KB)",,,Accessibility,"Journey time, Mode of travel, Public transport, Walking / Pedestrians",Department for Transport,England,Regions,23
http://www.dft.gov.uk/statistics/tables/acs0213,Table,ACS0213,"Download table ACS0213 – Users with access to key services within lower and upper threshold by cycling, by region, England, from 2007 (XLS – 39 KB)","## Download table

  * [ACS0213 - Users with access to key services within lower and upper threshold by cycling, by region, England, from 2007 (XLS - 39 KB)](http://assets.dft.gov.uk/statistics/tables/acs0213.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0213,http://assets.dft.gov.uk/statistics/tables/acs0213.xls,"ACS0213 – Users with access to key services within lower and upper threshold by cycling, by region, England, from 2007 (XLS – 39 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Public transport",Department for Transport,England,Regions,24
http://www.dft.gov.uk/statistics/tables/acs0214,Table,ACS0214,"Download table ACS0214 – Users with access to key services within lower and upper threshold by car, by region, England, from 2007 (XLS – 42 KB)","## Download table

  * [ACS0214 - Users with access to key services within lower and upper threshold by car, by region, England, from 2007 (XLS - 42 KB)](http://assets.dft.gov.uk/statistics/tables/acs0214.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0214,http://assets.dft.gov.uk/statistics/tables/acs0214.xls,"ACS0214 – Users with access to key services within lower and upper threshold by car, by region, England, from 2007 (XLS – 42 KB)",,,Accessibility,"Journey time, Mode of travel",Department for Transport,England,Regions,25
http://www.dft.gov.uk/statistics/tables/acs0215,Table,ACS0215,"Download table ACS0215 – Users with access to key services within lower and upper threshold by composite mode, by region, England, from 2007 (XLS – 45 KB)","## Download table

  * [ACS0215 - Users with access to key services within lower and upper threshold by composite mode, by region, England, from 2007 (XLS - 45 KB)](http://assets.dft.gov.uk/statistics/tables/acs0215.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0215,http://assets.dft.gov.uk/statistics/tables/acs0215.xls,"ACS0215 – Users with access to key services within lower and upper threshold by composite mode, by region, England, from 2007 (XLS – 45 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Regions,26
http://www.dft.gov.uk/statistics/tables/acs0216,Table,ACS0216,"Download table ACS0216 – At risk users with access to key services within lower and upper threshold by public transport/walking, by region, England, from 2007 (XLS – 42 KB)","## Download table

  * [ACS0216 - At risk users with access to key services within lower and upper threshold by public transport/walking, by region, England, from 2007 (XLS - 42 KB)](http://assets.dft.gov.uk/statistics/tables/acs0216.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0216,http://assets.dft.gov.uk/statistics/tables/acs0216.xls,"ACS0216 – At risk users with access to key services within lower and upper threshold by public transport/walking, by region, England, from 2007 (XLS – 42 KB)",,,Accessibility,"Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Regions,27
http://www.dft.gov.uk/statistics/tables/acs0217,Table,ACS0217,"Download table ACS0217 – At risk users with access to key services within lower and upper threshold by cycling, by region, England, from 2007 (XLS – 42 KB)","## Download table

  * [ACS0217 - At risk users with access to key services within lower and upper threshold by cycling, by region, England, from 2007 (XLS - 42 KB)](http://assets.dft.gov.uk/statistics/tables/acs0217.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0217,http://assets.dft.gov.uk/statistics/tables/acs0217.xls,"ACS0217 – At risk users with access to key services within lower and upper threshold by cycling, by region, England, from 2007 (XLS – 42 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel",Department for Transport,England,Regions,28
