old_url,i,body,associated_organisations,title,delivered_on_date,summary,delivered_by,date,speech_type,associated_policies
http://www.dft.gov.uk/news/statements/greening-20111108,35,"**Written statement by the Secretary of State**: The Secretary of State for Transport (Justine Greening): As the House will know, since taking up office as Secretary of State, a key early priority for me is to make a decision on the way forward following the Government's recent consultation on high speed rail (HS2).

My Department received around 55,000 responses to the consultation and an analysis of them has been undertaken. I am being provided with detailed information on the issues raised. This will provide me with extensive evidence in respect of all the issues that will affect my decision.

A number of colleagues have understandably requested meetings regarding HS2 and I believe it is important that that there should be an opportunity for me to hear directly from MPs on their views about HS2. Given that the consultation has closed, due process means it would not be proper for me to respond to any substantive points that are made at this meeting.

I wish to place on record that I will be providing MPs with an opportunity for such a meeting. I have scheduled this meeting for 21 November and have written to all members to ask them if they wish to attend. The meeting will take place in the Palace of Westminster. In the interests of transparency, I will arrange for a transcript to be made available, as a public record of the proceedings.

## Related documents

  * [Triennial Review of NDPBs of HS2 Ltd](/news/statements/greening-20111108a)

 
",Department for Transport,High Speed Rail,8 November 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.
",The Rt Hon Justine Greening MP,2011-11-08,Written statement,"Rail, High speed rail"
http://www.dft.gov.uk/news/statements/greening-20111108a,36,"**The Secretary of State for Transport (Justine Greening):** Reducing the number and cost of public bodies is a Coalition priority. The Triennial Review process has been established to continue our work ensuring accountability in public life by examining all NDPBs at least once every three years. I am announcing today the Triennial Review of HS2 Ltd. This review has two aims:

  * to provide a robust challenge of the continuing need for this NDPB - both its functions and form; and,
  * if it is agreed that it should remain as an NDPB, to review the control and governance arrangements in place to ensure that the public body is complying with recognised principles of good corporate governance.

The Triennial Review will build upon the internal review of the body conducted earlier this year.

I will announce the findings of the review later this year in line with the decision on the response to the consultation on high speed rail. 

If you would like further information, or to contribute to the review, please contact my Department or [highspeedrail@dft.gov.uk](mailto:highspeedrail@dft.gov.uk).

I remain committed to the ongoing review of public bodies and my department continues to work with the Cabinet Office to develop forward plans of reviews.

 
",Department for Transport,Triennial Review of NDPBs – HS2 Ltd,8 November 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.",The Rt Hon Justine Greening MP,2011-11-08,Written statement,"Rail, High speed rail"
http://www.dft.gov.uk/news/statements/greening-20111115,37,"**Written statement by the Secretary of State**: The Secretary of State for Transport (Justine Greening): Our railways are currently the most expensive in Europe. That is something we can and must tackle. The recent review by Sir Roy McNulty found scope to cut rail costs by 30 per cent - up to £1bn a year. My department is committed to working with the rail industry to develop a strategy to deliver a better value railway for the benefit of passengers, taxpayers and the wider economy.

In furtherance of that strategy, my Department has undertaken to develop and publish detailed proposals on delivering a sustainable railway including reform of Network Rail. I am today announcing my intention to publish a Command Paper that sets out those proposals early next year.

It will allow time for greater consideration of other issues central to the question of rail reform. This will also allow the Command Paper to properly reflect the consequences of my decision following our consultation on a national high speed rail network.

As part of the development of a comprehensive strategy for rail, and alongside the Command Paper, I also plan to consult on the scope to devolve responsibility for some rail passenger services in parts of England to sub-national bodies, and on issues relating to the review of fares and ticketing announced in May. In addition, the ORR expects to consult later this year on possible changes to its role, particularly in respect of future franchises.

 
",Department for Transport,Rail Reform,15 November 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.",The Rt Hon Justine Greening MP,2011-11-15,Written statement,"Rail, Rail passenger franchises"
http://www.dft.gov.uk/news/statements/greening-20111121,38,"**The Secretary of State for Transport (Justine Greening):** On Christmas Day 2009 an attempted attack on Northwest flight 253 from Amsterdam Schiphol to Detroit was made using an explosive device concealed in the underwear of a passenger. The device had been constructed with the aim of making detection by existing screening methods extremely difficult and had not been picked up by airport security at any point throughout the passenger's journey.

The previous Government's response to this threat included introducing security scanners at UK airports. Security scanners were deployed at Heathrow and Manchester airports in February 2010. They were deployed at Gatwick airport a few months later, meaning that today scanners are in operation at three of the largest UK airports.

A public [consultation](http://www.dft.gov.uk/consultations/2010-23)on an interim code of practice for the use of security scanners began just before the General Election. After the election, my predecessor, Philip Hammond, extended the consultation to allow more time for people to respond. The consultation closed on 19 July 2010 and over 6,000 responses were received. These have been analysed and I can now announce how we intend to deploy security scanners in the future.

The overwhelming feedback from airports is that nearly all passengers accept the use of security scanners and find the process quick and convenient. Out of over a million scans the Government is aware of only twelve refusals. However, I recognise that some passengers have concerns about the use of security scanners and these concerns were reflected in the responses to the consultation.

The ways in which security scanners can be deployed have been restricted by European legislation. My predecessor asked the Transport Commissioner to bring forward proposals which relax these restrictions, and allow scanners to be used more flexibly. An outline package which would achieve this was presented to the European Aviation Security Committee in July and has now been agreed by the European Parliament.

Most responses to the consultation expressed discomfort with the idea of having an image of their body captured for analysis, and they indicated that - if selected for a security scan - they would prefer to opt for an alternative method of screening. I have considered this carefully. However, I have decided against it, on security, operational and privacy grounds.

Firstly, I do not believe that a 'pat down' search is equivalent in security terms to a security scan. The purpose of introducing security scanners in the first place was to protect the travelling public better against sophisticated terrorist threats: these threats still exist and the required level of security is not achieved by permitting passengers to choose a less effective alternative.

I have considered carefully whether there are alternative screening methods which might deliver equivalent levels of security to a security scan. A full private search - involving the loosening and/or removal of clothing in the presence of security staff in a private room - would deliver a reasonable level of assurance. However, I believe that this is likely to represent a greater intrusion of privacy than a security scan, and that nearly all passengers, if they fully understand the procedures, would be unlikely to opt for this alternative. It is also likely to be operationally disruptive to airports and other passengers. Appropriately trained security staff would need to be diverted from the main search area to undertake these searches, leading to increased costs and longer queues for everyone else. I do not, therefore, believe that this represents a viable way forward.

I am aware that the proposals recently agreed by the European Parliament include the right for passengers to request an opt out from scanning. The UK did not support these proposals when they were presented to the Aviation Security Committee. Given the security arguments against permitting such an opt-out, and the threat level that exists in the UK, the Government intends to use its powers under the Aviation Security Act to maintain the current position. Those passengers selected for scanning will therefore not be able to fly if they are not willing to be scanned.

The consultation also asked people whether they had any health concerns relating to the small doses of ionising radiation produced by some security scanners. Only a limited number of responses were received on this issue, but I recognise that it has continued to be a contentious issue. Last year, experts from the Health Protection Agency (HPA) conducted an official assessment of the x-ray backscatter scanner in use at some UK airports. The HPA found that the dose of ionising radiation received from deployed backscatter scanners is the equivalent to that received naturally through just two minutes of flying at high altitude.  
The European Commission has called for further expert consideration of the potential health risks from security scanners and has asked the European Scientific Committee on Emerging and Newly Identified Health Risks to review the evidence. I look forward to the Committee's report and will consider it carefully before making decisions about which technologies should be deployed at UK airports in future.

However, it is right that the Government does what it can to address people's concerns wherever that is possible without compromising security. Therefore I can announce today that the Government intends to make further improvements to the privacy and data safeguards already in place for security scanners.

Software which automatically analyses images is currently in development. Where this technology has developed to a stage at which it passes rigorous Government testing, airports will be expected to deploy it when they renew or replace their equipment. This will mean that in the future images will no longer be seen by human reviewers. In addition, airports will also be required to undertake routine testing of hardware and software to ensure that they remain unable to copy, save, or otherwise transmit images. This will be verified by the Department's transport security inspectors.

I have also been considering whether security scanners should be rolled out more widely at UK airports. In principle, I believe that they should. My officials will work with the aviation industry to agree a risk-based approach to further deployments. However, I want to make sure that this is done in conjunction with the availability of enhanced screening technology with better privacy safeguards. The precise timing of further deployments will therefore be dependent on how quickly the new generation of security scanners is developed.

I have placed a copy of this statement, and the revised regulations on the use of security scanners at UK airports, in the Libraries of both Houses.

## Related document

  * [Information on the implementation of security scanners](http://www.dft.gov.uk/publications/information-on-the-implementation-of-security-scanners/)

 
",Department for Transport,Airport security scanners,21 November 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.",The Rt Hon Justine Greening MP,2011-11-21,Written statement,"Aviation, Airport, Aviation safety, Security and resilience"
http://www.dft.gov.uk/news/statements/greening-20111123,39,"**The Secretary of State for Transport (Justine Greening):** The publication of the [draft Civil Aviation Bill](/publications/civil-aviation-bill) today marks an important step in this Government's desire to put passengers at the heart of airport operations. The proposals are designed to modernise key elements of the regulatory framework for civil aviation in the UK, to enable the sector to increase its contribution to economic growth without compromising high standards.

Much of our aviation regulation is governed by 1980s legislation and needs to be updated. This draft Bill offers a package of reforms to make both regulation and the sanctions which support it flexible, proportionate, targeted and effective. It proposes removing unnecessary regulation and unnecessary intervention by central government. It devolves more responsibility to the independent specialist regulator, the Civil Aviation Authority (CAA), while ensuring that the CAA is accountable and weighs the costs and benefits of its decisions. The draft Bill proposes that certain costs of regulating aviation should be moved from general taxation to the aviation industry.

Above all the draft Bill puts the consumer first. In the economic regulation of airports with substantial market power the CAA's primary duty will be to consumers; that is passengers and owners of cargo now and in the future. In addition the Bill gives the CAA a role in promoting better public information about airline and airport performance and about the environmental effects of aviation and measures taken to mitigate adverse effects.

Aviation enables people to travel for business, leisure and to visit friends and family; and it enables the rapid movement of goods to and from markets overseas. The Government wants to see a successful and competitive aviation industry. We are taking forward the work of the South East Airports Taskforce to improve our major airports within the constraints of existing runways. In the longer term, we have committed to producing a sustainable framework for UK aviation by 2013 which supports economic growth and addresses aviation's environmental impacts.

The draft Bill complements these policies. It is in three parts:

  * reforming the framework for airport economic regulation, following my predecessor's statements to the House on 3 March 2011 and 21 July 2010.
  * modernising the framework and functions of the aviation regulator, the CAA. Some of these measures stem from the independent strategic review of the CAA by Sir Joseph Pilling in 2008 and a consultation launched by the previous Government in 2009.
  * transferring certain operational aviation security functions to the CAA as part of wider work to improve aviation security regulation and deliver savings to general taxation. This proposal, mentioned in the July 2011 consultation document ""Better Regulation for Aviation Security"", would create a single regulator for aviation safety and security. The Secretary of State would remain responsible for aviation security policy and issuing aviation security Directions to the industry.

The Government has previously announced that legislation to implement airport economic regulation reforms would be introduced early in the next Parliamentary session. An opportunity has now arisen to introduce a Civil Aviation Bill into Parliament near the beginning of 2012. This would help ensure that the CAA does not have to set airport price controls for the 5-year period 2014-2019 under the existing system. I therefore intend to take up this opportunity. I still wish however to publish the draft Bill today to provide an opportunity, even though the time available is shorter than previously envisaged, for the Transport Committee and stakeholders to consider the proposals before they are introduced into Parliament.

It is possible that the scope of the Bill may be extended before it is introduced. One area which could be included is the reform of the Air Travel Organisers' Licence (ATOL), following the recently finished consultation on measures to protect consumers better in the 21st century holiday market and help create a more level regulatory playing field for businesses.

 
",Department for Transport,Civil Aviation Bill,23 November 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.",The Rt Hon Justine Greening MP,2011-11-23,Written statement,"Aviation, Airport"
http://www.dft.gov.uk/news/statements/greening-20111124,40,"The Secretary of State for Transport (Justine Greening): As the House will know, as part of the spending review settlement in October 2010, the then Secretary of State agreed to carry out an [independent review](/publications/strategic-roads-network) to examine whether Government has the right approach to operating, maintaining and enhancing the strategic road network.

Alan Cook, the non executive chairman of the Highways Agency has led this review and has today published his report. The report can be found at www.dft.gov.uk/publications/strategic-roads-network and an electronic copy has been lodged with the House library.

I am grateful to Alan and his team for producing such a comprehensive report and welcome its publication. The review report proposes some fundamental reforms to how the network should be managed, the role of Government in relation to the network and the future relationship between the Department and Highways Agency, including the Agency's status.

Although I must carefully consider the report before providing a full and informed response, I intend that my response be made as soon as possible, in order to enable the Agency and Department to move forward with certainty and confidence regarding any changes that are to be made. My response will therefore be completed in early 2012.

I recognise the potential benefits that greater financial autonomy may bring and I am also pleased to see that Alan is of the view that road users' needs are put at the heart of considerations around specifying future performance requirements for the network. This is an important step in ensuring the network meets the real needs of users as a key customer of the network.

 
",Department for Transport,Independent Review of Strategic Road Network in England,24 November 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport

",The Rt Hon Justine Greening MP,2011-11-24,Written statement,"Roads, Road transport"
http://www.dft.gov.uk/news/statements/greening-20111128,41,"**Written statement by the Secretary of State**: The Secretary of State for Transport (Justine Greening): I wish to inform the House of the Government's intentions for the future of the search and rescue helicopter service in the UK. Following the cancellation of the SAR-H Private Finance Initiative in February, the Department for Transport will today publish a [notice](http://www.dft.gov.uk/publications/uk-sar-helicopter-services) in the Official Journal of the European Union to commence procurement for a new UK wide service contract. 

My Rt. Hon Friend the Defence Secretary has agreed that the new contract will provide a search and rescue capability provided by civilian crews, enabling our Armed Forces to focus activity on their front line operations.

The Royal Navy and the Royal Air Force crews have shown great dedication and professionalism in delivering an exemplary search and rescue service for many years, and we owe them all great thanks for this. Looking forward, we are confident that, building on nearly 30 years of civilian service provided under contract to the Maritime and Coastguard Agency (MCA), a fully civilian service will be able to maintain the same standards in the future.

This competition will procure a contracted search and rescue helicopter service for the whole of the UK, for a period of approximately 10 years. The Royal Air Force and Royal Navy will continue to provide search and rescue coverage until the replacement for this capability is in place, and it is my intention that the contract I let will require this to be the first part of the new service to become operational. This will ensure that the Ministry of Defence is able to meet its previously announced intention to withdraw from service and retire its fleet of Sea King helicopters by March 2016. The replacement for the capability currently provided by the MCA will follow on from this. This transition will ensure continuity of service.

Bidders for the future service will be able to put forward options which will utilise a mixed fleet of modern helicopters based on the capabilities required at each of the bases (such as range, carrying capacity and endurance). The services will be capable of delivery by different contractors providing complementary services.

The introduction of a modern fleet of fast, reliable helicopters will lead to major improvements in the capability available from the present mix of helicopters. Modern helicopters operating from 10 full-time bases can not only continue to meet all current service requirements but also provide faster flying times to a large part of the UK search and rescue region, as well as providing a more reliable service. This will therefore be reflected in the new contract.

It is my intention that search and rescue operations will cease at RAF Boulmer in 2015 and at MCA Portland when the interim arrangements that were announced in July expire. Other operations at RAF Boulmer will be unaffected by this.

Given the complexity of the issues that need to be considered by bidders during the procurement, I intend that this procurement will be undertaken using the competitive dialogue procedure. As far as is practicable however, I intend to run the competition using lean procurement principles during some stages of the procurement. This will, I hope, both expedite and simplify some stages of the procurement that would ordinarily be time consuming and costly for industry to participate in.

I expect to award a contract in early 2013 to give the future service provider time to mobilise the new capability.

 
",Department for Transport,Search and rescue helicopters,28 November 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport",The Rt Hon Justine Greening MP,2011-11-28,Written statement,"Aviation, UK search and rescue"
http://www.dft.gov.uk/news/statements/greening-20111129,42,"**The Secretary of State for Transport (Justine Greening)**: I am delighted to make this statement together with the Secretary of State for Communities and Local Government about the importance of rail freight and the need for a network of [Strategic Rail Freight Interchanges](/publications/strategic-rail-freight-interchange) to support growth and create employment.

The UK logistics industry makes a significant contribution to the national economy, generating around £110 billion annually and employing more than two million people. The rail network transports over 100 million tonnes of goods per year. It is of strategic importance - rail freight delivers over a quarter of the containerised food, clothes and white goods, and delivers nearly all the coal for the nation's electricity generation. Rail freight has expanded by 60% over the last decade, and is expected to grow by a further 30% up to 2019.

Over recent years, rail freight has started to play an increasingly significant role in logistics and has become an important driver of economic growth. Given the right conditions, the Government believes that rail freight could make an even stronger contribution to the country's economic recovery.

The Government supports the transfer of freight from road to rail, where it is practical and economic to do so and fully recognises that rail freight can generate valuable benefits for society where it provides an alternative to road haulage. Rail can deliver goods quickly, efficiently and reliably and help reduce both congestion on our roads and levels of carbon emissions. To secure this longer-term growth and modal shift, rail needs to be able to compete effectively with the use of road by heavy goods vehicles, and it is significant that in recent years our major retailers have been keen to choose rail over road for the long distance carriage of goods to market.

However, this expansion in rail freight will be very difficult to deliver unless the industry is able to develop modern distribution centres linked into both the rail and trunk road system - 'Strategic Rail Freight Interchanges' (SRFI) - in appropriate locations to serve our major conurbations. To date, this has proved extremely problematical, especially in the South East where growing demand and increasing congestion on the road network are creating serious logistical challenges.

The Government believes that an expanded network of SRFIs, complemented by other freight interchanges and terminals, is needed to support longer-term development of efficient rail freight distribution logistics. Whilst SRFIs operate to serve regional and cross regional catchment areas, they are also key components in national and international networks. These networks are of strategic importance in facilitating links between UK regions and the European Union.

The Government is therefore taking measures to unblock the development of strategic rail freight interchanges and unlock the necessary private sector investment in such facilities. Pending the publication of the Department for Transport's consultation document on the National Networks National Policy Statement (NPS), a statement of current Strategic Rail Freight Interchange policy has been placed in the Libraries of both Houses and published on the Department's website. It may be used by the Infrastructure Planning Commission (IPC) in its decision making on the development consent applications for SRFI infrastructure that fall within the definition of a Nationally Significant Infrastructure Project (NSIP) as defined in the Planning Act 2008.

In parallel, the Department has asked Network Rail to provide industry support to the development of a network of SRFIs, working collaboratively with the wider logistics industry to: speed up the delivery of SRFI sites to meet business demand; assist with funding mechanisms (potentially including Network Rail funding); and establish appropriate delivery vehicles for rail infrastructure elements of such proposals.

## Related documents

  * [Strategic rail freight Interchange](/publications/strategic-rail-freight-interchange)
  * [Strategic Rail Freight Network: The Longer Term vision](http://webarchive.nationalarchives.gov.uk/20110223093550/http://www.dft.gov.uk/pgr/rail/strategyfinance/strategy/freightnetwork/strategicfreightnetwork.pdf)

 
",Department for Transport,Strategic Rail Freight Interchanges,29 November 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport

",The Rt Hon Justine Greening MP,2011-11-29,Written statement,"Rail, Freight, Public transport, Rail passenger franchises"
http://www.dft.gov.uk/news/statements/greening-20111206,43,"**The Secretary of State for Transport (Justine Greening):** The Department for Transport's Business plan says that, following the consultation on [high speed rail](/topics/high-speed-rail/) which was held earlier this year, we would complete the analysis of consultation responses and announce our subsequent decisions to Parliament in December.

Since taking up office in October I have been considering the issues, raised as part of the consultation and additionally have listened to the views of Honourable Members. In order to ensure that my decision is based on a careful consideration of all relevant factors, I have concluded that I should allow myself until early in 2012 to announce my decisions. I am therefore notifying the House that I will not be making a further statement on the subject of high speed rail this year, but I expect to announce my decisions in January.

 
",Department for Transport,Update on DfT Business Plan,6 December 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.",The Rt Hon Justine Greening MP,2011-12-06,Written statement,"Rail, High speed rail"
http://www.dft.gov.uk/news/statements/greening-20111207,44,"The Secretary of State for Transport (Justine Greening): I will attend the second Transport Council of the Polish Presidency which will take place in Brussels on 12 December.

The Presidency will be seeking a Political Agreement on a Proposal for a Directive of the European Parliament and of the Council establishing a single European railway area (Recast). The European Parliament had its first reading of this proposal on 16 November. Many of the Parliament's amendments differed significantly from the Council's general approach text. Following discussion at the one Council working group meeting that took place following the first reading it is expected the Presidency will seek a political agreement, which incorporates only those amendments that do not alter the general approach, and thus will be acceptable to the UK.

The Council will be asked to reach a partial General Approach on a draft Regulation amending Regulation 3821/85 on recording equipment in road transport and amending regulation 561/2006. The UK supports elements of the proposal that aim to reduce burdens on business. I will want to resist provisions that might impose unnecessary burdens or additional costs on Government or Industry, including the proposal to ban operators from installing and calibrating tachographs in their own vehicles. I will be seeking to minimise the risks of increases in costs and burdens via future decisions taken by the European Commission ('the Commission') under a delegated or implementing act, by pressing for clearly specified constraints on the scope of proposed action.

The Council will be asked to reach a General Approach on a Proposal for a Directive of the European Parliament and of the Council amending Directive 2008/106/EC of the European Parliament and of the Council on the minimum level of training of seafarers. Although we would question the merit of a European database of Seafarer Certification, we have negotiated important changes which would require the anonymisation of seafarer personal data to be a mandatory pre-condition of the obligation to transfer data. We have also negotiated changes to align the text more closely with the deadline for the implementation of the amendments to the International Convention on Standards of Training, Certification and Watchkeeping for Seafarers to avoid placing additional burdens on EU Member States which would put our flags at a competitive disadvantage with other countries' flags.

The Council will be asked to reach a General Approach on a Proposal for a Regulation of the European Parliament and of the Council on the accelerated phasing-in of double-hull or equivalent design requirements for single-hull oil tankers (Recast). The UK is in favour of the General Approach proposed for the draft recast of these regulations which brings European law in line with amendments agreed at the International Maritime Organization.

There will also be a Progress Report on a Proposal for a Regulation of the European Parliament and of the Council on Union guidelines for the development of the Trans-European Transport Network. The UK recognises that the TEN-T Network should be focused on projects that carry clear EU-added value and should be supported by guidelines on projects seeking EU funding. We do not support standards and requirements being expanded to the wider TEN-T Network on a mandatory basis. We believe that decisions on national projects to be prioritised for development and investment should remain with the Member States and the transport operators concerned. Furthermore, the UK is keen to ensure that this proposal does not impose any additional financial or administrative burdens.

The main items under Any Other Business include the Commission's presentation on its proposal for an Airport package, the Implementation and exploitation of European satellite navigation systems and the Connecting Europe Facility. The Commission will also provide information on the European Aviation Safety Management System and Air cargo security action plan.

The Polish Presidency will provide information on the Ministerial Conference on Eastern Partnership held in Krakow on 24-25 October 2011 and on the High Level Conference on the Implementation of the Single European Sky and its extension to third countries held in Warsaw on 28 November 2011.

The Danish delegation will also provide information on the work programme of their forthcoming Presidency of the EU.

 
",Department for Transport,EU Transport Council,7 December 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.",The Rt Hon Justine Greening MP,2011-12-07,Written statement,"Rail, Roads, Shipping, Rail interoperability"
http://www.dft.gov.uk/news/statements/greening-20111214,45,"The Secretary of State for Transport (Justine Greening): Following the 2010 Spending Review the Government committed to a £1.5 billion programme of investment in major transport schemes promoted by local authorities, recognising the impact that such schemes can have on growth and the economy.

Our aim was to ensure that the programme of investment for the spending review period would be affordable, would promote growth and would achieve better value for money for the taxpayer. All local authority promoters with schemes already in the pipeline were challenged to improve their scheme design, reduce costs and secure a greater proportion of funding from local sources.

In February 2011 we confirmed funding for the first 9 of these schemes and announced an expanded Development Pool of 45 schemes that would be considered in more detail.

The local authority promoters of the Development Pool schemes were invited to submit revised funding bids in September 2011. Funding for 20 of these schemes was confirmed on 29 November as part of the Autumn Statement.

I am today announcing funding for a further 21 schemes as follows. These represent a mix of road and public transport schemes across England.

  * A684 Bedale-Aiskew-Leeming Bar Bypass
  * Bath Transportation Package
  * Beverley Integrated Transport Plan
  * Camborne-Pool-Redruth Transport Package
  * Chester Road (Birmingham)
  * Coventry-Nuneaton Rail Upgrade
  * Croxley Rail Link (Watford)
  * Darlaston (Walsall)
  * Elmbridge Transport (Gloucester)
  * Leeds Inner Relief Road Maintenance
  * Loughborough Town Centre Transport Scheme
  * Luton Town Centre Transport Scheme
  * Morpeth Northern Bypass
  * North Fringe to Hengrove BRT (Bristol)
  * Norwich Northern Distributor Road (NNDR)
  * Nottingham Ring Road
  * Pennine Reach (East Lancs Rapid Transit)
  * South Yorkshire Bus Rapid Transit Phase 1 (Sheffield/Rotherham)
  * Sunderland Strategic Corridor
  * Weston Package
  * Worcester Transport Strategy.

This is a major programme of investment. The schemes announced today will cost £854m with a DfT contribution of up to £586m in this spending review period and beyond. The total DfT contribution to all 41 schemes will be up to £972m, compared to the £1.575bn that was previously requested for these schemes prior to the spending review - a 38% reduction. This means that a far greater number of schemes can go ahead than would otherwise have been the case.

All the schemes announced will now be able to progress towards construction subject to securing any remaining necessary planning and statutory approvals and subject to confirmation of value for money where material changes to the scheme have been proposed.

We are not yet able to make decisions for a further four of the Development Pool schemes.

In two cases, we have not yet been provided with sufficient evidence to allow us to assess the schemes' value for money. These are the Leeds New Generation Transport (Trolleybus) and South Essex Rapid Transit schemes. In these cases the promoters will have until 31 March 2012 to provide the necessary additional information, and we will make decisions within two months of receipt.

The Waverley Link Road proposed by Rotherham Borough Council is opposed in its current form by Sheffield City Council, whose land is required for the proposed route. We recognise that there is a case for additional transport capacity in this area but the currently proposed scheme does not appear to be deliverable. We are inviting Rotherham to work with Sheffield and other stakeholders and to propose a resolution to the issue by 31 March 2012.

We recognise the critically important role that transport improvements could play in the regeneration of the Bexhill-Hastings area and the economic case underpinning the Bexhill-Hastings Link Road, though we are also aware of concerns regarding the proposed scheme, including its environmental impact.

Before we take a final decision on the scheme we want to be sure that it offers the best approach for regenerating the area and also to consider other transport options to achieve this, including local trunk roads such as the A21, A259 and local rail. We also want to consider whether further environmental mitigation measures could be deployed to address the impacts of the proposed Bexhill-Hastings scheme.

Over the next three months the Department will work alongside the scheme's promoters and other local and regional partners to gather further evidence on the optimal solution for the area. We would intend to make a decision swiftly thereafter.

Details of each of the schemes and the funding offered by the Government are available on the DfT website and will be followed by a more detailed document setting out the details of our decision making process, and information on our assessment of the schemes.

## Related documents

  * [Local authority majors - development pool schemes: decisions - December 2011](/publications/local-major-transport-scheme-decisions)
  * [21 local transport schemes get the go-ahead, 14 December 2011](/news/press-releases/dft-press-20111214)

 
",Department for Transport,Funding decisions on local authority major transport schemes,14 December 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.",The Rt Hon Justine Greening MP,2011-12-14,Written statement,"Roads, Road management"
http://www.dft.gov.uk/news/statements/greening-20111215a,46,"**The Secretary of State for Transport (Justine Greening)**: In May, my Department launched the Road Transportation theme of the Red Tape Challenge - part of the Cabinet Office's project to review all of the outstanding regulations currently on the statute book. Following a detailed process of challenge, stakeholder discussion and public feedback, I am now pleased to announce the results.

Within the Road Transport Red Tape Challenge, my department put forward every secondary regulation relating to road transportation for public discussion - 415 in total. 376 of these are judged still to be live, and of these I propose to scrap, merge, simplify, amend or improve 142 - well over a third. The detailed breakdown I propose is:

 
Keep as is Improve Scrap Moved*

Number
226
84
58
8

Percentage
60.1%
22.3%
15.4%
2.1%

Number non-EU
180
75
54
8

% non-EU
55.9%
23.6%
18.0%
2.5%

*Moved regulations will be finalised under a different section of the Red Tape Challenge.

Amongst the measures we are pursuing, we will be:

  * Scrapping the regulation requiring motorists to hold a paper counterpart to their driving licence by 2015 - saving drivers up to £8m;
  * Improving the regulation surrounding the notification process for vehicles that are not in use on the road (Statutory Off Road Notification or SORN). Once drivers have notified the DVLA that their vehicle is SORN, they will no longer have the burden of annual SORN renewal;
  * Only issuing hard-copies of V5C vehicle registration certificates for fleet operators when needed (with the potential to offer the same to private motorists);
  * Introducing a limited exemption from drivers' hours rules so that those who also drive as Territorial Army reservists in their own time can continue to do so.

The Challenge has also considered various administrative measures that are not based in legislation and has examined pieces of primary legislation that can be amended or simplified.

Other proposals include:

  * Removing the need for an insurance certificate. The Department for Transport will work with the insurance industry on removing the need for motorists to have to hold an insurance certificate.
  * Abolishing the requirement for drivers to prove they have insurance when applying for tax, meaning 600,000 more people will be able to tax their car online. This has been made possible by new checks of existing databases for insurance under new Continuous Insurance Enforcement rules. (The DVLA's records are now compared regularly with the Motor Insurance Database (MID) to identify registered keepers of vehicles that appear to have no insurance).
  * We will look at experience in other countries on driver Certificates of Professional Competence (CPC) - the qualification for professional bus, coach and lorry drivers. In particular, to see if we could remove the need for some sectors, such as farmers who drive stock to market, from needing a CPC.
  * Local Authorities will now have to ensure business interests are properly considered as part of any future proposed Workplace Parking Levy scheme. They must show they have properly and effectively consulted local businesses, have addressed any proper concerns raised and secured support from the local business community.
  * Abolishing the regulations on the treatment of lost property on buses. Bus companies currently have to wait 48 hours before they can throw away perishable items left on the bus.

The full list of 376 regulations, explaining what actions we are taking on each, is available on my Department's website at [http://www.dft.gov.uk/consultations/gov-20110520](/consultations/gov-20110520).

Overall, this represents an ambitious programme of deregulation, some elements of which will represent a major shift in the way my Department does business. I am pleased with the results of this section of the Red Tape Challenge and the deregulatory mindset it has helped foster. I look forward to similar outcomes from the ongoing rail and maritime theme and next year's examination of aviation red tape.

 
",Department for Transport,Red Tape Challenge reform of road transport regulations,15 December 2011,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.",The Rt Hon Justine Greening MP,2011-12-15,Written statement,"Roads, Legislation"
