Body,Associated organisations,Title,Summary,Old URL,Publication date
"MSPs may soon need to decide if they are going to ban air weapons and cut the drink drive limit in Scotland.

Following the unanimous vote by the Scottish Parliament to support the Scotland Bill on 18 April, the Scotland Office Minister David Mundell confirmed that these new policy powers could be transferred to Holyrood as early as this Summer.

If, as expected, the Bill receives final approval by the UK Parliament and Royal Assent next week, the transfer of policy powers to Holyrood could happen two months after Royal Assent. 

The Scotland Bill contains the largest ever transfer of powers to the Scottish Parliament. The multi-billion pound tax and borrowing powers will start to be phased in from 2013 onwards when new capital borrowing powers take effect. Policy powers can be transferred from Westminster to Holyrood as early as this summer.

Scotland Office Minister David Mundell said:

""Next week should see the UK Parliament approve the largest ever transfer of powers to Holyrood, and follows the unanimous vote on the legislation in the Scottish Parliament yesterday.

""This Government committed itself to giving more powers to the Scottish Parliament and we are on the verge of fulfilling that commitment to the people of Scotland.

""That would mean that instead of debating what new powers Holyrood could have or should have that MSPs will need to debate what they are actually going to do with these new powers.  That will be a refreshing change. The new policy powers can be transferred as early as this summer so Holyrood will need to make some important decisions in the near future.

""Are we going to have the drink drive limit cut in Scotland? What will this mean for drivers? How soon should this happen? 

""Will air weapons be banned in Scotland? Will legislation be brought forward at the earliest opportunity?

""I expect the Scottish Government have already been working on these policy areas and we will see evidence of that shortly.

""If our Bill is approved by both  Parliaments in the next two weeks then it will be rewarding for all those involved to see Holyrood getting on with using the new powers that so many argued for.""
",Scotland Office,Holyrood could face big decisions on new Scotland Bill powers within weeks,"Following the unanimous vote by the Scottish Parliament to support the Scotland Bill on 18 April, the Scotland Office Minister David Mundell confirmed that these new policy powers could be transferred to Holyrood as early as this Summer.",http://www.scotlandoffice.gov.uk/scotlandoffice/16901.html,19 April 2012
"Unemployment in Scotland fell by 12,000, to 219,000 in the period December to February 2012, according to Office for National Statistics (ONS) data released today.

The Scottish unemployment rate is 8.1 per cent, below the UK average of 8.3 per cent. The labour market statistics also show employment in Scotland has increased by 17,000 over the three months to December to February 2012. The number of those in employment in Scotland now stands at 2,484,000.

  
The Secretary of State for Scotland Michael Moore said:

 ""Today's figures show an encouraging drop in unemployment and are welcome news, not least for the people who have secured work over the last quarter. We can be hopeful this is a sign that the Scottish labour market is stabilising, but there is clearly still a big challenge ahead to bring down unemployment and get more people back into jobs. We still have a lot of work to do and there is absolutely no room for complacency.

""While these are challenging times for the economy, the UK Government is doing all it can to create the right conditions for businesses to create long-lasting jobs. Our policies are helping to stabilise the economy and maintain confidence as we reduce the deficit and create growth.

""We have also made youth unemployment a priority and  have taken significant steps to pull together with organisations across Scotland to remove the barriers to getting young people into work. The National Convention I recently chaired in Dundee was a key step forward in our shared efforts and provided a strong base from which to continue that work.""

* Employment in Scotland rose by 17,000 over the quarter, and rose by 6,000 over the year to stand at 2,484,000.

* The Scots employment rate rose over the quarter to 71.3 per cent. The rate is above the UK average of 70.4 per cent.

* Unemployment in Scotland decreased by 12,000 over the quarter and rose by 4,000 over the year.  The level now stands at 219,000.

* At 8.1 per cent, the Scots unemployment rate is now below the UK rate as a whole which stands at 8.3%.

* Economic Activity rose by 6,000 over the quarter and now stands at 2,704,000. The Economic Activity rate remained unchanged over the quarter to remain at 77.7 per cent.

* In March 2012, the number of people out of work and claiming Jobseeker¿s Allowance (JSA) was 143,800.
",Scotland Office,April Labour Market Statistics for Scotland,"Official statistics show unemployment fell by 12,000 in Scotland over the three months to February",http://www.scotlandoffice.gov.uk/scotlandoffice/16881.html,18 April 2012
"Tightening the law on the criminal liability of partnerships and reforming the law on unincorporated associations will be the dual focus of a UK Government consultation launched today (Tuesday 17 April).

The Government is seeking views on proposals put forward by the Scottish Law Commission.

Reforming the criminal liability of partnerships in Scots law was suggested after the tragedy of the Rosepark nursing home fire in Lanarkshire in 2004 in which 14 residents lost their lives.

The case against the care home operators failed in the courts because of a loophole which prevented the prosecution of a partnership once it had been dissolved.

The proposed change  would ensure all Scottish partnerships could be held to account if they commit crimes and prevent them escaping prosecution for potentially serious offences by dissolving.

The consultation will also look at a separate issue of attributing legal personality to non-profit making unincorporated associations where they meet certain statutory criteria.

Without this reform, a member of a charity, club or other unincorporated association could find themselves held personally liable for someone injured at an event it has organised, for an act for which they are not personally culpable, exposing them to personal financial risk.

The Commission's proposals would provide organisations with limited liability to ensure individual members or office-bearers could not be held personally liable for any damage or offence caused by the organisation as a whole.

The Secretary of State for Scotland Michael Moore said:

""There is an urgent need to ensure that we end the loophole that led to the failure of prosecutions following the Rosepark tragedy. This must not be allowed to happen again. It is not right that partnerships are able to avoid criminal proceedings  by dissolving.

""The second measure would restrict the liability of individuals in unincorporated associations. It is not fair that someone who gives their time to the management of a club or association should be held personally - and financially - responsible for an accident or injury which happens at one of its events. We believe that should be the responsibility of the organisation as a whole and are consulting on the best way to remove this risk and ensure individuals who help manage clubs or voluntary associations are protected.

""We believe these two proposals are sensible and sound steps forward for Scots law.""

The consultation was announced by the Secretary of State in a written ministerial statement to Parliament this morning.

The government is now considering whether to implement the proposals based on the Scottish Law Commission¿s work, which led to a report and draft Bill in 2009 on unincorporated associations and a report and draft Bill in 2011 in the law on criminal liability of dissolved Scottish partnerships.

It is seeking views on the issues.  The Scottish Law Commission has indicated it supports the process and will continue to work with the UK Government to finalise a Bill.

The Consultation closes on 2 July 2012.

Responses to:   
Law Reform Consultation  
Room 8/2   
Scotland Office  
Dover House  
London SW1A 2AU

Tel: 020 7 270 6738  
Fax: 020 7 270 6812  
Email: [LawReform@scotlandoffice.gsi.gov.uk](mailto:LawReform@scotlandoffice.gsi.gov.uk)
",Scotland Office,UK Government moves to close legal loophole on prosecution of partnerships in Scotland,Tightening the law on the criminal liability of partnerships and reforming the law on unincorporated associations will be the dual focus of a UK Government consultation launched today,http://www.scotlandoffice.gov.uk/scotlandoffice/16865.html,17 April 2012
"Commenting on the news Diageo plans to invest £1 billion in whisky production across Scotland, including major expansion across its distilleries and warehousing, the Secretary of State for Scotland said it was a ""huge boost for the industry"".

Michael Moore said:

""This investment is a sign of the commercial success of the whisky industry and I welcome the fact it will create hundreds of jobs in Scotland.

""The rise in global demand for our national drink is a result of the sector's quality and expertise in finding new markets and this investment will ensure whisky continues to make a significant contribution to the Scottish economy and employment.

""The UK Government has played a key role in supporting the industry, from working to provide geographical indication protection for the product in countries around the world to providing the support of 2,500 UKTI staff and advisers in countries around the world. The UK's network of trade contracts across the world is invaluable to the whisky industry and we shall continue to give them the support it needs to continue its remarkable success.""

There are over 150 UKTI overseas offices in 100 markets around the world, covering 98 % of world GDP. UKTI has 2,500 staff and advisers, including those in embassies, high commissions, consulates and trade offices around the world.

The UK Government's Food and Drink Export Action Plan also sets out targeted actions to help exporters use the UK's influence around the world.
",Scotland Office,Secretary of State for Scotland welcomes Diageo investment,Minister welcomes firm's £1 billion expansion plans for distilleries,http://www.scotlandoffice.gov.uk/scotlandoffice/17281.html,6 Jun 2012
"A giant set of Olympic rings was unveiled in Glasgow today as the city became the latest around the UK to to be decorated with the iconic symbol of the Games.

The 10m wide 5m tall stainless steel sculpture has been installed in George Square in the city centre and will form a backdrop for a series of Olympic celebrations in Glasgow this summer.

The rings were unveiled by ten primary school pupils from the city in a ceremony attended by Glasgow City Council leader Councillor Gordon Matheson and Sir Craig Reedie, the former chairman of the British Olympic Association (BOA) and representative of both the International Olympic Committee (IOC) and the London Organising Committee of the Olympic and Paralympic Games (LOCOG).

Glasgow will be a focal point for celebrations during the Olympic and Paralympic Games this summer and will stage an evening festival in George Square when the Olympic Torch reaches the city on Friday 8 June as part of the ten week Olympic Torch Relay through Great Britain and Northern Ireland.

The city has already been gearing up for its role as a host for eight of the Olympic football tournament matches and has been decorated with nearly 6km of bunting and 700 specially made banners and flags to give it the Olympic look and feel.

The Secretary of State for Scotland Michael Moore said:

""The reception to the Olympics has been incredible so far and is growing day by day as we get closer to the start of the Games. It is going to be a great event for the whole of the UK and Glasgow as it hosts Olympic football as well as training camps for athletes from around the world. The torch route is going to take the spirit of the games through the communities of Scotland and I am looking forward to the flame arriving here next week.""

George Square is the latest of several eye-catching sites where giant sets of Olympic rings have been installed. The first was at St Pancras railway station in London in March 2010 and has been followed by others at the entrance to the Channel Tunnel in Calais, in flowers at Kew Gardens, at Birmingham airport and on the River Thames in London and outside the city halls in Cardiff and Belfast. More will be unveiled in Edinburgh, Newcastle, Coventry, Surrey and Weymouth in the coming weeks.  
 
",Scotland Office,Giant Olympic rings unveiled in Glasgow,The 10m wide 5m tall stainless steel sculpture has been installed in George Square in the city centre and will form a backdrop for a series of Olympic celebrations in Glasgow this summer.,http://www.scotlandoffice.gov.uk/scotlandoffice/17261.html,31 May 2012
"Helping Scottish firms to manufacture, compete in global markets and increase their exports is a key aim for the UK Government and one which will help the economy stabilise and grow, the Secretary of State for Scotland said today (Wednesday 30 May).

Michael Moore continued his tour of Scottish businesses with a visit to Falkirk-based Alexander Dennis Limited (ADL), the UK's Britain's biggest bus and coach manufacturer and the biggest British-owned company in the country's automotive sector.

This week, the Minister has been visiting firms across Scotland to hear about the issues facing firms and talking about the steps the UK Government is taking to support business and rebalance the economy. 

The visit highlights the role of the automotive industry in the UK, a sector which leads in many areas of manufacturing and  provides 135,000 direct jobs and contributes around £10 billion to the UK economy.

More than 40 companies manufacture vehicles in the UK - ranging from global car makers, van, truck and bus builders, to specialist firms. In addition, eight out of the 12 Formula 1 teams are based in the UK. The UK's ""Motorsport Valley"" employs over 25,000 world-class engineers, while more than 15 universities offer motorsport engineering and management degrees.

Alexander Dennis Limited is a world leader in the development and manufacture of lightweight, fuel efficient, environment-friendly buses and its vehicles form the backbone of double deck fleets across the world. It is also Europe's leading supplier of low-carbon hybrid electric buses and has three principal manufacturing sites in the UK - its HQ facility in Falkirk; at Scarborough in North Yorkshire; and at Guildford, in Surrey.

Speaking after the visit, Michael Moore said:

""I have been impressed by the scope, innovation and diversity of the businesses I have met so far this week. Scotland has a huge range of skills and experience to draw from and our ability to find new markets both at home and abroad.

""Companies such as Alexander Dennis Ltd are a great example of a firm making the most of having facilities across the UK to support its domestic and international trade. That supports 2000 jobs directly and 5000 indirectly and is helping the economy grow at the same time.

""The UK Government has taken action to help support the auto industry, an essential industry sector. The UK provides the platform, reach and expertise needed for its success. This government will continue to support it as we work to rebalance the economy and secure future growth.""
",Scotland Office,Moore: Auto manufacturing can drive Scotland's economy,"Helping Scottish firms to manufacture, compete in global markets and increase their exports is a key aim for the UK Government and one which will help the economy stabilise and grow, the Secretary of State for Scotland said today.",http://www.scotlandoffice.gov.uk/scotlandoffice/17241.html,30 May 2012
"The news that Scottish companies have secured contracts worth over £30 million as a result of the London 2012 Olympic Games was welcomed by the Secretary of State for Scotland today.

The latest figures from the UK Government show thirty firms have won business worth £30,843,048 as a result of the Olympics coming to the UK.

Michael Moore said the news showed Scotland was set to benefit economically from the Games as companies and suppliers provided goods and services across a range of sectors.

Speaking after visits to businesses in and around Glasgow, the Minister said:

""As we get ever closer to the spectacle of the Games, it is good to see that Scotland's economy is also benefitting as a result of firms winning contracts.  Although the Olympics are being hosted in London, we are determined that Scotland does not miss out.

""There are many benefits to Scotland which come from the Games, and related activity such as tourism will help boost the economy further.

""The reception across the UK has been incredible so far and next week I will meet the Olympic flame as it arrives in Scotland before making its way around the country.. 

""Scotland is also playing a key role in the sporting arena, hosting football at Hampden and providing training camps in Glasgow and Aberdeen.""
",Scotland Office,Scotland's businesses on winning streak with 2012 Olympics,The news that Scottish companies have secured contracts worth over £30 million as a result of the London 2012 Olympic Games was welcomed by the Secretary of State for Scotland today.,http://www.scotlandoffice.gov.uk/scotlandoffice/17226.html,29 May 2012
"The future success of Scotland's renewables sector is best served by  partnering the country's natural resource to the support offered by being part of the UK, the Secretary of State for Scotland Michael Moore said today.

The Minister was speaking after a visit to the Islay Energy Trust as part of a countrywide tour to meet real Scots who are working hard to create jobs for their own communities. The Islay Energy Trust is a community-owned organisation that aims to develop renewable energy projects for the benefit of the community whilst reducing Islay's carbon footprint.  The Sound of Islay has  been identified as having one of the best tidal resources in the UK. Recently the Trust announced a new Tidal Energy Project, a world-first tidal array that will have the capacity to generate 10MW of electricity, the annual power usage on the islands of Islay and Jura.

The Secretary of State said:

""I have been very impressed by the project I have seen on Islay. There is no doubt Scotland has a wealth of renewable resource, including tidal, and the UK Government is helping to deliver the next generation of energy provision as part of a balanced mix.

""The key challenge is turning our potential into a commercial reality and I believe the best way to do that is within the UK, given the access to a broader consumer base and the help we are providing the sector. In this case, as in so many others, we really can achieve far more together than apart.""

Following the introduction of the Offshore Renewable Energy Catapult in February, the visit reinforces the UK government's commitment to renewable energy through:

-       providing financial support for the renewables industry;

-       working with stakeholders to remove barriers to delivery of new projects;

-       aiding development of technology and innovation. 

It is estimated that the UK has around 50 percent of Europe's tidal energy resource, and harnessing tidal and wave energy has huge potential.

Generating energy from the power of waves or tides could provide up to 20 percent of current UK electricity demand and also help cut carbon emissions and support thousands of UK jobs. To help encourage further private investment in renewables, the UK Government has also created the UK Green Investment Bank, which will have its headquarters in Edinburgh and a transaction team in London. The UK GIB will provide funding for new renewable energy projects throughout the country and is one of a number of key policies designed help meet environmental objectives and promote long-term sustainable economic growth.
",Scotland Office,Moore pledges UK Government commitment to renewables energy,"The future success of Scotland's renewables sector is best served by  partnering the country's natural resource to the support offered by being part of the UK, the Secretary of State for Scotland Michael Moore said.",http://www.scotlandoffice.gov.uk/scotlandoffice/17207.html,28 May 2012
"The news today (Monday  28 May) that the Forth Bridge is one of two new sites recommended to go forward as the UK's next World Heritage nominations has been welcomed by the Secretary of State for Scotland.

The Forth Bridge can now prepare a nomination for 2014. The Gorham's Cave Complex in Gibraltar will go forward in 2015.

The Secretary of State for Scotland Michael Moore said:

""The Forth Bridge is an iconic symbol of Scotland which is instantly recognised the world over and is a huge feat of Scottish engineering skill. It was nominated for UNESCO World Heritage Status by the UK Government last year and the fact it has topped the list and can now take its bid forward is good news for Scotland.""

Earlier this year the UK submitted to UNESCO a Tentative List of 11 sites that could be future World Heritage nominations. Those sites which felt ready to go forward straight away were invited to submit a Technical Evaluation, which was assessed by an independent Expert Group. Four sites came forward and the Expert Group recommended the Forth Bridge and Gorham's Cave Complex should go first and second.

Once the sites' nominations have been submitted, they will undergo a demanding 18 month process of scrutiny and evaluation by UNESCO and its advisory body, the International Council on Monuments and Sites. UNESCO's World Heritage Committee is expected to take the final decision on the Forth Bridge in June 2015 and on Gorham's Cave Complex in 2016.

The UK currently has 28 World Heritage sites, spread across all four nations of the UK, and a number of UK Overseas Territories. More information can be found here: [http://www.culture.gov.uk/what_we_do/historic_environment/4168.aspx](http://www.culture.gov.uk/what_we_do/historic_environment/4168.aspx)

The UK's current Tentative List of future world heritage nominations was announced in March 2011 and formally submitted to UNESCO in January 2012. It can be found here:  [http://whc.unesco.org/en/tentativelists/state=gb](http://whc.unesco.org/en/tentativelists/state=gb)  
 
",Scotland Office,Forth Bridge bid for World Heritage Status good for Scotland say Moore,The Forth Bridge is one of two new sites recommended to go forward as the UK's next World Heritage nominations,http://www.scotlandoffice.gov.uk/scotlandoffice/17201.html,28 May 2012
"Three Scottish cities are being urged to seize the opportunity to  become a Super-Connected City and revolutionise the way their residents and businesses get online.  
   
The UK Government announced earlier this month that Aberdeen, Dundee and Perth are eligible to bid for a share of a £50 million funding pot designed to help them roll out ultrafast-broadband.   
   
This is the second round of funding available, with ten UK cities, including Edinburgh, already working on detailed plans to upgrade their networks.   
   
The UK Department for Culture, Media and Sport has today (25 May) published guidance on the bidding process for the second tranche of funding, and cities must produce plans for a contiguous area offering fixed ultrafast broadband as well as high speed wireless connectivity.

The Secretary of State for Scotland has encouraged the three Scottish cities to apply and join the capital in providing ultrafast broadband access to businesses and homes.   
   
Michael Moore said:   
   
""This is a fantastic opportunity for these cities to reap the benefits that could come from achieving Super-Connected status.   
   
""Access to ultrafast broadband means businesses can expand, develop new markets and compete with others around the world.  It also allows local communities to access public services more quickly and efficiently online.  
   
""Providing Scotland  with high-speed broadband is essential for businesses to grow and to create the new jobs we need. That is why the UK Government believes broadband is essential not only for everyday life, but also for the future economic success of the UK.  
   
""I am encouraging Aberdeen, Dundee and Perth to submit the most robust bids possible and seize the opportunity to add further Scottish cities to the super-connected roster.""

 Ofcom defines superfast broadband as above 24Mbps.  For the Super-Connected Cities programme, ultrafast means speeds as close to 80-100Mbps as is currently possible.  Ultrafast includes technologies, principally fibre to the cabinet (FTTC), that are capable of up to 80Mbps and are ultimately up-gradable to 100Mbps or more.
",Scotland Office,Moore urges Scottish cities to seize ultrafast broadband chance,"The UK Government announced earlier this month that Aberdeen, Dundee and Perth are eligible to bid for a share of a £50 million funding pot designed to help them roll out ultrafast-broadband.",http://www.scotlandoffice.gov.uk/scotlandoffice/17183.html,25 May 2012
"The Secretary of State for Scotland Michael Moore has welcomed the launch of the independence campaign today, saying it will clear the way for the debate over Scotland' future to move on to the real issues.

The Minister said he looked forward to making a strong case for Scotland remaining within the UK family and discussing the ""far-reaching consequences"" of separation in detail. 

His comments came after a YouGov poll showed a clear majority of Scots remain opposed to independence.

Moore said:

""Scotland is facing its most important decision in over three hundred years.  
   
""So I welcome the launch of the nationalists' campaign.  
   
""And now that the celluloid is back in the can at the Fountainpark cinema,  the real debate will begin on what it would mean for people in Scotland if we separated from the rest of the UK.  
   
""When it comes to weathering the economic storm in Europe, fixing our economy so that it creates new jobs, or investing in our public services and pensions - Scots will want to make an informed choice about what is best for them and their family.  
   
""And I believe that on these things and so much else that the nations of the UK are stronger together and weaker apart  
   
""Today's poll - like so many others - shows that a clear majority of Scots feel that way too.  
   
""I look forward to a serious debate getting under way in which the nationalists will set out their case and we will set out ours for a modern Scotland with a Scottish Parliament, strong and secure within the UK family.""  
   
""A decision to leave the UK would have far-reaching and irreversible consequences.  
   
""That's why we need to move beyond debating the process alone, and discuss the real issues too.""
",Scotland Office,Moore: We must move on to the real issues around separation,"The Secretary of State for Scotland Michael Moore has welcomed the launch of the independence campaign today, saying it will clear the way for the debate over Scotland's future to move on to the real issues.",http://www.scotlandoffice.gov.uk/scotlandoffice/17182.html,25 May 2012
"The UK Green Investment Bank (UK GIB) moved a step closer to going live today (25 May) as the Business Secretary announced the formation of the public company and the appointment of its top directors.

Lord Smith of Kelvin will be the new Chair of UK Green Investment Bank plc. Currently Chair of SSE and The Weir Group, he has a strong financial services background, chairing the group set up by the Financial Reporting Council in 2003 to clarify the role of audit committees.

Sir Adrian Montague has been appointed as Deputy Chair and Senior Independent Director. Sir Adrian, who is chair of companies including 3i and Anglian Water Group, has been chairing the GIB Advisory Group and has been closely involved with the development of the bank.

Scottish Secretary Michael Moore said:

""The UK GIB is set to play an essential part as we build and invest in a greener future. This is a UK institution headquartered in Edinburgh supported by a strong team in London and the news that Lord Smith and Sir Adrian Montague have been appointed is another step towards the bank opening for business. They bring a wealth of experience to the roles and will bring that to bear as we look to encourage private sector investment in key energy projects.""

Lord Smith said:

""It is a pleasure to be asked by the Business Secretary to chair this groundbreaking institution. I look forward to working with Sir Adrian Montague and can't wait to get started.""

The newly formed Board will begin the recruitment of the company¿s other directors and senior executive team shortly; with a view to having the UK GIB fully operational this autumn, subject to state aid approval from the European Commission.

Following these appointments, the Advisory Group chaired by Sir Adrian Montague will be disbanded.

The UK GIB will be based in Edinburgh and London. Its headquarters will be located in Edinburgh, with an office in London. This arrangement will enable a greater commercial reach nationally than could be achieved from one location.

Legislation has also now been introduced, under the Enterprise and Regulatory Reform Bill, to set the Bank's green purpose, embed its independence and make funding provision for the Bank.
",Scotland Office,Top team appointed as UK Green Investment Bank company formed,The UK Green Investment Bank (UK GIB) moved a step closer to going live today (25 May) as the Business Secretary announced the formation of the public company and the appointment of its top directors.,http://www.scotlandoffice.gov.uk/scotlandoffice/17181.html,25 May 2012
"The latest North Sea licensing round for oil and gas drilling has broken all previous records for the number of applications received by the Government.

A total of 224 applications have been submitted for the 27th Licensing Round covering 418 blocks of the UK Continental Shelf. It is the largest number since offshore licensing began in 1964 and is 37 more than the previous high total received in the last licensing round.

The Secretary of State for Scotland Michael Moore welcomed the figures and said:

""The UK Government has worked hard to create the right environment to foster confidence in the sector and this record level of interest is proof positive those efforts are working.

""This is good news for the future of the North Sea and for the thousands of jobs it supports. The changes we made in the Budget, which strengthen certainty around issues such as tax and decommissioning costs, have helped give the industry the stability it needs to plan future investment and support jobs in Scotland.""

Charles Hendry, Minister of State for Energy, said:

""There remains an extraordinary level of interest in North Sea oil and gas and it is tremendous news for industry and for the UK economy.

""We have been working extremely hard with the oil and gas industry to ensure the UK remains an attractive place to invest. The recent Budget was an important step to create a fiscal environment for North Sea development to flourish - providing energy security and jobs.

""Now our task is to ensure this considerable level of interest continues and that we make the most of this valuable, British resource.""

The UK's oil and gas sector still provides almost half of the country's energy and is by far the largest single industrial UK investor. Directly and indirectly it supports around 450,000 jobs in the UK.
",Scotland Office,Moore welcomes record-breaking North Sea licensing round,A total of 224 applications have been submitted for the 27th Licensing Round covering 418 blocks of the UK Continental Shelf.,http://www.scotlandoffice.gov.uk/scotlandoffice/17161.html,23 May 2012
"The Olympic torch relay starts from Land's End this morning (Saturday) and will arrive in Scotland in less than three weeks time.

Scottish Secretary Michael Moore said having the Olympic Games in the UK was a chance for Scots to show their passion for sport and to seize the business opportunities that come with it.

It is now 70 days until the opening ceremony of the Olympic Games in London (on July 27th) and only 20 days until the Olympic torch arrives in Scotland at Stranraer (on June 8th).

Scottish Secretary Michael Moore said:

""The whole of the UK is getting caught up in the excitement surrounding the Olympics and Paralympics. The torch is now on UK soil and making its way towards Scotland.  The week that the torch relay spends in Scotland next month will be a once in a lifetime chance for most Scots to play their part in the build up to the world's greatest sporting event.

""Starting at Land's End this morning, the torch relay will criss cross the UK, heading ever northwards, through Glasgow and Inverness, until it reaches Lerwick on June 10th. Shetland is where the torch turns for home and the 600 mile journey to the Olympic stadium in London, taking in the cities of Aberdeen, Dundee and Edinburgh on the way.

""Towns and villages across Scotland will see the torch carried through their streets by hundreds of locally nominated torchbearers with inspirational stories. It will be a great chance for Scots to show our passion for sport and salute our local heroes.

""Having the Olympics and Paralympics in the UK is also a wonderful opportunity for Scottish business. The world is coming to Britain and the world will be watching Britain. There will be tourism opportunities throughout the UK this year and in the years to come. The UK Government's business summits for 3000 global business leaders is also  expected to attract more than £1bn in trade and investment for the UK.

""As our athletes make their final preparations for the Games, people across Scotland are getting ready to play their part in backing the team and enjoying an inspirational summer of sport.""
",Scotland Office,Olympic excitement builds as torch relay begins,Scottish Secretary says having the Olympic Games in the UK is a chance for Scots to show their passion for sport and to seize the business opportunities that come with it.,http://www.scotlandoffice.gov.uk/scotlandoffice/17141.html,18 May 2012
"The UK Government has today published all of the responses to its referendum consultation.

The responses are available online: [http://www.scotlandoffice.gov.uk/scotlandoffice/17087.html](http://www.scotlandoffice.gov.uk/scotlandoffice/17087.html)

The Secretary of State for Scotland Michael Moore said:

""The publication of the consultation responses clearly demonstrates the quality of the argument from all quarters of Scotland for a referendum which is legal, fair and decisive.

""Since launching our consultation in January we have made a good deal of progress with the Scottish Government. We both agree that a Section 30 Order should be used to enable Holyrood to legislate for an independence referendum. We both agree that the Electoral Commission must have a role to play in reviewing the question.

""Both Governments can take satisfaction from the quality of the arguments supporting our shared preference for a single question. A range of business leaders, academics and members of the public make a very persuasive case for asking one clear question.  There is much in the quality of the arguments being made that both I and the First Minister can take heart from.

""There is also  strong support behind the case for holding the referendum sooner than the Scottish Government's proposed date of Autumn 2014. I have indicated that the timing of the referendum should not be a barrier to us agreeing the referendum process and moving on to the real debate. I hope the First Minister will agree that we should get on with sorting this.""

The consultation closed on March 9th and received nearly 3000 responses from business, academics, politicians, organisations and individuals. The responses showed strong levels of support for:  
  
-       The two Governments agreeing a section 30 to provide the Scottish Parliament with the power to hold a legal, fair and decisive referendum;

-       having a single, clear question on independence;

-       having the referendum sooner rather than later;

-       having the question reviewed by the Electoral Commission;  
  
-       using the Scottish Parliament franchise.

All the responses to the consultation have been published except where the individual or organisation has asked that their response be treated as confidential. 

All responses to the consultation were received by email or by post, as a result all responses could be identified by a single unique identifier: an email or postal address.  Only one response per individual was recorded to avoid duplication. 
",Scotland Office,UK Government's referendum consultation responses published,"The Secretary of State for Scotland says the publication of the consultation responses demonstrates the quality of the argument from all quarters of Scotland for a referendum which is legal, fair and decisive.",http://www.scotlandoffice.gov.uk/scotlandoffice/17122.html,17 May 2012
"Keeping costs low for Scottish consumers and putting them in control of their energy bills should be a key aim for suppliers, the second Scotland Office Energy Summit heard today (Thursday 17 May).

The event, held in Rutherglen, brought together the ""Big Six"" energy companies, consumer groups and the UK and Scottish Governments as well as the industry regulator Ofgem.

It was chaired by the Scotland Office Minister David Mundell and builds on the work of the first Scottish summit which was held by Michael Moore in October.

As rising energy costs continue to put pressure on domestic budgets across the country, the Summit provides a forum for the energy industry and organisations to discuss ways to reduce prices and identify ways to make tariffs simpler to understand so consumers can choose the best deal. The Summit also has a focus on energy efficiency measures for households, emphasising the range of steps people can take to save energy in their homes.

The Summit heard that the UK Government was building on its policies - such as the Warm Home Discount Scheme - by bringing forward further initiatives such as the Green Deal and the Energy Company Obligation.

The energy suppliers presented a summary of the work they had undertaken since the last Summit. Consumer groups gave an update of their activity in terms of identifying gaps and problem areas and officials from the UK Department of Energy and Climate Change explained the details of the Warm Home Discount and other policies as well as work on the inclusion of hard-to-reach consumers such as the over 65s. .

The Scotland Office Minister David Mundell said:

""The Summit is a unique chance to bring together the energy companies, consumer groups and Scotland's two governments to tackle the issues of rising bills and fuel poverty. These are serious issues and we are making good progress as we work towards a simpler and cheaper system for Scottish households and families.

""This Government wants people to be paying as little as possible for their energy  and, while we can't control volatile global prices, we can look at the best ways to get the lowest possible tariff and also save as much energy as we can.

""The UK Government has already launched a number of policies designed to help, which shows how seriously we take this issue.

""I am very grateful for everyone who took part in the Summit and the spirit in which they looked constructively at the issues and are working towards solution. The energy companies are playing their part alongside consumer groups and government and I am certain we can continue to work towards the best deal for people across Scotland"".

Organisations represented at the Summit were:

Age Scotland  
British Gas  
Citizens Advice Scotland  
Consumer Focus Scotland  
EDF Energy  
Energy Action Scotland  
EoN UK  
Ofgem  
RWE npower  
Scottish Government  
Scottish Power  
SSE  
UK Government  
Which?  
 
",Scotland Office,Energy Summit aims to put consumers first,"An event focused on reducing bills for Scottish energy consumers brought together the ""Big Six"" energy companies, consumer groups and the UK and Scottish Governments in Rutherglen today",http://www.scotlandoffice.gov.uk/scotlandoffice/17121.html,17 May 2012
