Associated organisations,Attachments,Title,Summary,Old URL,Type,Publication date
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/10181.html"", ""title"": ""Read""}]",Scotland's Devolution Settlement,,http://www.scotlandoffice.gov.uk/scotlandoffice/10801.134.html,Publications,27-Jan-2003
Scotland Office,"[{""link"": ""http://www.dca.gov.uk/constitution/devolution/guidance.htm"", ""title"": "" http://www.dca.gov.uk/constitution/devolution/guidance.htm""}]",Devolution Guidance,Devoution guidance notes from the DCA website ,http://www.scotlandoffice.gov.uk/scotlandoffice/10801.134.html,Publications,01-Oct-2002
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/10183.html"", ""title"": ""Read""}]",Motoring Taxation Costs,Comparison of Motoring Taxation Costs Across Europe - Report by Colin Buchanan and Partners ,http://www.scotlandoffice.gov.uk/scotlandoffice/10801.134.html,Publications,06-Nov-2000
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/10184.html"", ""title"": ""Read""}]",Dover House,"A history of Dover House, the London headquarters of the Scotland Office ",http://www.scotlandoffice.gov.uk/scotlandoffice/10801.134.html,Publications,30-Jun-2000
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/WMS - Reforming the law on Scottish unincorporated associations and crimnal liability of Scottish partnerships.pdf"", ""title"": ""Written Ministerial Statement - Consultation on Scottish unincorporated associations and criminal liability of Scottish partnerships""}]",Reforming the law on Scottish unincorporated associations and criminal liability of Scottish partnerships,,http://www.scotlandoffice.gov.uk/scotlandoffice/10802.137.html,Written Ministerial statements,17-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/WMS Calman Commons 15 June 09.pdf"", ""title"": ""Devolution: Commission on Scottish Devolution - WMS Devolution formal response WMS 150609 (PDF 128KB)""}]",Written Ministerial statement on the publication of the final report from the Commission on Scottish Devolution,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10802.137.html,Written Ministerial statements,15-Jun-2009
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Gould formal response WMS 240608.pdf"", ""title"": ""Gould formal response WMS 240608.pdf [ PDF file, 236.39 Kb ]""}]",Written ministerial statement setting out formal response to the Gould report into the May 2007 Scottish Parliament elections,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10802.137.html,Written Ministerial statements,24-Jun-2008
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Minutes 27-07-12 - For internet.pdf"", ""title"": ""Read the minutes of the Joint Management Board meeting from 19 June 2012 [26KB]""}]",Joint Management Board Minutes - 19 June 2012,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,27-Aug-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ScotlandOfficeAnnualReport2011-12.pdf"", ""title"": ""Annual Report for the Scotland Office and the Office of the Advocate General 2011-12""}]",Annual Report (2011-12) for the Scotland Office and the Office of the Advocate General,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,16-Jul-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Minutes - 17 June 2011 - internet.pdf"", ""title"": ""Read the minutes of the Joint Management Board meeting from 17 June 2011 [31Kb]""}]",Joint Management Board minutes - 17 June 2011,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,04-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Minutes - 26 Nov 2010 - Internet.pdf"", ""title"": ""Read the minutes of the Joint Management Board meeting from 26 November 2010 [36Kb]""}]",Joint Management Board minutes - 26 November 2010,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,04-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Minutes - 3 March 2011- Internet.pdf"", ""title"": ""Read the minutes of the Joint Management Board from 3 March 2011 [37Kb]""}]",Joint Management Board minutes - 3 March 2011,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,04-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Final JMB Minutes for Internet - 04 November 2011.pdf"", ""title"": ""Read the minutes of the Joint Management Board meeting from 4 November 2011 [31Kb]""}]",Joint Management Board minutes - 4 November 2011,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,04-Apr-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/SO Annual Report 2011.pdf"", ""title"": ""SO Annual Report 2011.pdf""}]",Annual Report of the Scotland Office and the Office for the Advocate General 2011,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,30-Jun-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/SO Survey 2010.pdf"", ""title"": ""Scotland Office staff survey autumn 2010""}]",Scotland Office Staff Survey Results 2010,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,24-Jan-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Annual Report tables 2010.pdf"", ""title"": ""Annual Report tables 2010 for the Scotland Office and the Office of the Advocate General""}]",Annual Report tables 2010 for the Scotland Office and the Office of the Advocate General,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,10-Aug-2010
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/JMB Minutes - 18-05-10.pdf"", ""title"": ""Read the minutes of the Joint management Board meeting from 18 May 2010 [PDF 192KB]""}]",Joint Management Board minutes - 18 May 2010,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,14-Jul-2010
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/JMB_100310_Meeting_Minutes.pdf"", ""title"": ""Read the minutes of the Joint Management Board meeting from 10 March 2010 [PDF 44Kb]""}]",Joint Management Board Minutes - March 2010,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,17-May-2010
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/ScotlandOfficeMeetingsWithOutsideInterestGroupsOct-Dec09.doc"", ""title"": ""Meetings with outside interests groups - Oct-Dec 09""}]",Meetings with outside interests groups - Oct-Dec 09,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,29-Mar-2010
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Edited version of the minutes from the January 2010 JMB.pdf"", ""title"": ""Read the minutes of the Joint Management Board meeting from 18 January 2010 [PDF 151Kb]""}]",Joint Management Board Minutes - January 2010,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,11-Feb-2010
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/JMB - Minutes of Meeting 19 November 2009.pdf"", ""title"": ""Read the minutes of the Joint Management Board meeting from 19 November 2009 - (PDF 129Kb)""}]",Joint Management Board Minutes - November 2009,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,19-Jan-2010
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/JMB 090917 - Minutes of Meeting.pdf"", ""title"": ""Read the minutes of the Joint Management Board meeting from 17 September 2009""}]",Joint Management Board Minutes - September 2009, ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,19-Jan-2010
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/JMB 19052009 - MINUTES - FINAL - RedactedV2.pdf"", ""title"": ""Read the minutes of the Joint Management Board meeting from 19 May 2009""}]",Joint Management Board Minutes - 19 May 2009,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,08-Jul-2009
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/JMB 090121- Minutes of Meeting.pdf"", ""title"": ""Read the minutes of the Joint Management Board meeting from 21 January 2009""}]",Joint Management Board Minutes - January 2009,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,07-Jul-2009
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/SO 2009.pdf"", ""title"": ""Scotland Office Annual Report 2009 (PDF 813kb)""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/SO 2009 ERRATUM 3.pdf"", ""title"": ""Scotland Office Annual Report 2009 (PDF 813kb)""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/The Scottish Budget since Devolution.pdf"", ""title"": ""Scotland Office Annual Report 2009 (PDF 813kb)""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/SO Web Paper - March 2010 - Prior to Budget 2010-FINALpdf.pdf"", ""title"": ""Scotland Office Annual Report 2009 (PDF 813kb)""}]",Annual Report of the Scotland Office and the Office of the Advocate General for Scotland 2009,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,12-Jun-2009
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/SO REPORT 2008.pdf"", ""title"": ""SO REPORT 2008.pdf [ PDF file, 825.66 Kb ]""}]",Annual Report of the Scotland Office and the Office of the Advocate General for Scotland 2008,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,15-May-2008
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Scotland Office Resource Accounts 1999-2000.pdf"", ""title"": ""Scotland Office Resource Accounts 1999-2000.pdf [ PDF file, 2.55 Mb ]""}]",Scotland Office Resource Accounts 1999-2000,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,12-Oct-2007
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/dca-resource-accounts-2006-7.pdf"", ""title"": ""dca-resource-accounts-2006-7.pdf [ PDF file, 409.32 Kb ]""}]",DCA Resource Accounts 2006-07,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,27-Sep-2007
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/resource-accts-0506b.pdf"", ""title"": ""resource-accts-0506b.pdf [ PDF file, 498.48 Kb ]""}]",DCA Resource Accounts 2005-06 (2 of 2),Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,26-Sep-2007
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/resource-accts-0506a.pdf"", ""title"": ""resource-accts-0506a.pdf [ PDF file, 516.15 Kb ]""}]",DCA Resource Accounts 2005-06 (1 of 2),Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,26-Sep-2007
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/SO REPORT 2007.pdf"", ""title"": ""SO REPORT 2007.pdf [ PDF file, 517.77 Kb ]""}]",Annual Report of Scotland Office and Office of the Advocate General 2007,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,11-May-2007
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/SO-REPORT-2006.pdf"", ""title"": ""SO-REPORT-2006.pdf [ PDF file, 821.80 Kb ]""}]",Annual Report of the Scotland Office and Office of the Advocate General for Scotland 2006,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,24-May-2006
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/resource-accts-0405.pdf"", ""title"": ""resource-accts-0405.pdf [ PDF file, 314.05 Kb ]""}]",DCA Resource Accounts 2004-05,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,21-Mar-2006
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/resource-accts-0304.pdf"", ""title"": ""resource-accts-0304.pdf [ PDF file, 322.38 Kb ]""}]",DCA Resource Accounts 2003-04,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,21-Mar-2006
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/SO-REPORT-2005.pdf"", ""title"": ""SO-REPORT-2005.pdf [ PDF file, 301.84 Kb ]""}]",Annual Report of the Scotland Office and Office of the Advocate General for Scotland 2005,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,22-Jun-2005
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/resource03-04.doc"", ""title"": ""resource03-04.doc [ DOC file, 215.00 Kb ]""}]",Scotland Office Resource Accounts 2003-04,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,23-Mar-2005
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Resource02-03.doc"", ""title"": ""Resource02-03.doc [ DOC file, 717.50 Kb ]""}]",Scotland Office Resource Accounts 2002-03,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,23-Mar-2005
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/resource00-01.doc"", ""title"": ""resource00-01.doc [ DOC file, 555.50 Kb ]""}]",Scotland Office Resource Accounts 2000-01,Open: ,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,23-Mar-2005
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/10206.html"", ""title"": ""Read""}]",Annual Report of the Scotland Office and Office of the Advocate General for Scotland 2004,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,07-May-2004
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/10207.html"", ""title"": ""Read""}]",Scotland Office Departmental Report 2003,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,16-May-2003
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/10208.html"", ""title"": ""Read""}]",Scotland Office Resource Accounts 2001-02,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,17-Dec-2002
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/10209.html"", ""title"": ""Read""}]",Scotland Office Departmental Report 2002,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,18-Jun-2002
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/10210.html"", ""title"": ""Read""}]",Scotland Office Departmental Report 2001,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,01-May-2001
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/10211.html"", ""title"": ""Read""}]",Scotland Office Departmental Report 2000,,http://www.scotlandoffice.gov.uk/scotlandoffice/10797.135.html,Reports and accounts,26-Jun-2000
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 369.pdf"", ""title"": ""Staff employed in ICT and IT ""}]",Staff employed in ICT and IT,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16669&mon=jan,Latest releases,30-Jan-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 365.pdf"", ""title"": ""Staff Earnings ""}]",Staff Earnings,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16669&mon=jan,Latest releases,30-Jan-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 364.pdf"", ""title"": ""Legal Expenditure ""}]",Legal Expenditure,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16669&mon=jan,Latest releases,30-Jan-2012
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 363.pdf"", ""title"": ""Ministerial meetings with Scottish MPs ""}]",Ministerial meetings with Scottish MPs,,http://www.scotlandoffice.gov.uk/scotlandoffice/16668.141.html?tID=16669&mon=jan,Latest releases,26-Jan-2012
